DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
27,2016,3,7,1,0,Long Beach (Hudson),33.8025,-118.22,3/7/2016
17,2016,3,13,1,0,Long Beach (Hudson),33.8025,-118.22,3/13/2016
24,2016,3,19,1,0,Long Beach (Hudson),33.8025,-118.22,3/19/2016
27,2016,3,25,1,0,Long Beach (Hudson),33.8025,-118.22,3/25/2016
38,2016,3,31,1,0,Long Beach (Hudson),33.8025,-118.22,3/31/2016
32,2016,4,6,1,0,Long Beach (Hudson),33.8025,-118.22,4/6/2016
25,2016,4,12,1,0,Long Beach (Hudson),33.8025,-118.22,4/12/2016
31,2016,4,18,1,0,Long Beach (Hudson),33.8025,-118.22,4/18/2016
29,2016,4,24,1,0,Long Beach (Hudson),33.8025,-118.22,4/24/2016
23,2016,4,30,1,0,Long Beach (Hudson),33.8025,-118.22,4/30/2016
12,2016,5,6,1,0,Long Beach (Hudson),33.8025,-118.22,5/6/2016
22,2016,5,12,1,0,Long Beach (Hudson),33.8025,-118.22,5/12/2016
25,2016,5,18,1,0,Long Beach (Hudson),33.8025,-118.22,5/18/2016
19,2016,5,24,1,0,Long Beach (Hudson),33.8025,-118.22,5/24/2016
16,2016,5,30,1,0,Long Beach (Hudson),33.8025,-118.22,5/30/2016
11,2016,6,5,1,0,Long Beach (Hudson),33.8025,-118.22,6/5/2016
8,2016,6,11,1,0,Long Beach (Hudson),33.8025,-118.22,6/11/2016
49,2016,6,17,1,0,Long Beach (Hudson),33.8025,-118.22,6/17/2016
25,2016,6,23,1,0,Long Beach (Hudson),33.8025,-118.22,6/23/2016
31,2016,6,29,1,0,Long Beach (Hudson),33.8025,-118.22,6/29/2016
19,2016,7,5,1,0,Long Beach (Hudson),33.8025,-118.22,7/5/2016
31,2016,7,11,1,0,Long Beach (Hudson),33.8025,-118.22,7/11/2016
18,2016,7,17,1,0,Long Beach (Hudson),33.8025,-118.22,7/17/2016
36,2016,7,23,1,0,Long Beach (Hudson),33.8025,-118.22,7/23/2016
29,2016,7,29,1,0,Long Beach (Hudson),33.8025,-118.22,7/29/2016
26,2016,8,4,1,0,Long Beach (Hudson),33.8025,-118.22,8/4/2016
26,2016,8,10,1,0,Long Beach (Hudson),33.8025,-118.22,8/10/2016
30,2016,8,16,1,0,Long Beach (Hudson),33.8025,-118.22,8/16/2016
27,2016,8,22,1,0,Long Beach (Hudson),33.8025,-118.22,8/22/2016
27,2016,8,28,1,0,Long Beach (Hudson),33.8025,-118.22,8/28/2016
19,2016,9,3,1,0,Long Beach (Hudson),33.8025,-118.22,9/3/2016
33,2016,9,9,1,0,Long Beach (Hudson),33.8025,-118.22,9/9/2016
33,2016,9,15,1,0,Long Beach (Hudson),33.8025,-118.22,9/15/2016
31,2016,9,21,1,0,Long Beach (Hudson),33.8025,-118.22,9/21/2016
55,2016,9,27,1,0,Long Beach (Hudson),33.8025,-118.22,9/27/2016
52,2016,10,3,1,0,Long Beach (Hudson),33.8025,-118.22,10/3/2016
29,2016,10,9,1,0,Long Beach (Hudson),33.8025,-118.22,10/9/2016
17,2016,10,15,1,0,Long Beach (Hudson),33.8025,-118.22,10/15/2016
49,2016,10,27,1,0,Long Beach (Hudson),33.8025,-118.22,10/27/2016
58,2016,11,8,1,0,Long Beach (Hudson),33.8025,-118.22,11/8/2016
