DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
14,2016,11,17,1,0,Newark Firehouse,40.720989,-74.192892,11/17/2016
3,2016,11,20,1,0,Newark Firehouse,40.720989,-74.192892,11/20/2016
6,2016,11,23,1,0,Newark Firehouse,40.720989,-74.192892,11/23/2016
9,2016,11,26,1,0,Newark Firehouse,40.720989,-74.192892,11/26/2016
12,2016,11,29,1,0,Newark Firehouse,40.720989,-74.192892,11/29/2016
6,2016,12,2,1,0,Newark Firehouse,40.720989,-74.192892,12/2/2016
11,2016,12,5,1,0,Newark Firehouse,40.720989,-74.192892,12/5/2016
13,2016,12,8,1,0,Newark Firehouse,40.720989,-74.192892,12/8/2016
13,2016,12,11,1,0,Newark Firehouse,40.720989,-74.192892,12/11/2016
15,2016,12,17,1,0,Newark Firehouse,40.720989,-74.192892,12/17/2016
13,2016,12,20,1,0,Newark Firehouse,40.720989,-74.192892,12/20/2016
16,2018,1,2,1,0,Newark Firehouse,40.720989,-74.192892,1/2/2018
6,2018,1,5,1,0,Newark Firehouse,40.720989,-74.192892,1/5/2018
26,2018,1,8,1,0,Newark Firehouse,40.720989,-74.192892,1/8/2018
40,2018,1,11,1,0,Newark Firehouse,40.720989,-74.192892,1/11/2018
16,2018,1,17,1,0,Newark Firehouse,40.720989,-74.192892,1/17/2018
20,2018,1,20,1,0,Newark Firehouse,40.720989,-74.192892,1/20/2018
13,2018,1,23,1,0,Newark Firehouse,40.720989,-74.192892,1/23/2018
14,2018,1,26,1,0,Newark Firehouse,40.720989,-74.192892,1/26/2018
13,2018,1,29,1,0,Newark Firehouse,40.720989,-74.192892,1/29/2018
18,2018,2,1,1,0,Newark Firehouse,40.720989,-74.192892,2/1/2018
12,2018,2,4,1,0,Newark Firehouse,40.720989,-74.192892,2/4/2018
6,2018,2,16,1,0,Newark Firehouse,40.720989,-74.192892,2/16/2018
20,2018,2,19,1,0,Newark Firehouse,40.720989,-74.192892,2/19/2018
5,2018,2,22,1,0,Newark Firehouse,40.720989,-74.192892,2/22/2018
7,2018,2,25,1,0,Newark Firehouse,40.720989,-74.192892,2/25/2018
14,2018,2,28,1,0,Newark Firehouse,40.720989,-74.192892,2/28/2018
4,2018,3,3,1,0,Newark Firehouse,40.720989,-74.192892,3/3/2018
12,2018,3,6,1,0,Newark Firehouse,40.720989,-74.192892,3/6/2018
8,2018,3,9,1,0,Newark Firehouse,40.720989,-74.192892,3/9/2018
11,2018,3,12,1,0,Newark Firehouse,40.720989,-74.192892,3/12/2018
12,2018,3,15,1,0,Newark Firehouse,40.720989,-74.192892,3/15/2018
8,2018,3,21,1,0,Newark Firehouse,40.720989,-74.192892,3/21/2018
