DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,Lat,Lng,Date
33.2,2016,12,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
39.2,2016,1,7,22,0,Long Beach (Hudson),33.8025,-118.22,1/7/2016
51.3,2016,1,13,23,0,Long Beach (Hudson),33.8025,-118.22,1/13/2016
28.9,2016,1,19,22,0,Long Beach (Hudson),33.8025,-118.22,1/19/2016
42,2016,1,25,23,0,Long Beach (Hudson),33.8025,-118.22,1/25/2016
13.9,2016,1,31,23,0,Long Beach (Hudson),33.8025,-118.22,1/31/2016
75.6,2016,2,12,23,0,Long Beach (Hudson),33.8025,-118.22,2/12/2016
36.1,2016,2,18,23,0,Long Beach (Hudson),33.8025,-118.22,2/18/2016
51.8,2016,2,24,21,0,Long Beach (Hudson),33.8025,-118.22,2/24/2016
46.1,2016,3,1,21,0,Long Beach (Hudson),33.8025,-118.22,3/1/2016
31.8,2016,3,7,23,0,Long Beach (Hudson),33.8025,-118.22,3/7/2016
24.2,2016,3,13,23,0,Long Beach (Hudson),33.8025,-118.22,3/13/2016
19,2016,3,19,23,0,Long Beach (Hudson),33.8025,-118.22,3/19/2016
34.3,2016,3,25,23,0,Long Beach (Hudson),33.8025,-118.22,3/25/2016
35.1,2016,3,31,23,0,Long Beach (Hudson),33.8025,-118.22,3/31/2016
38.1,2016,4,6,22,0,Long Beach (Hudson),33.8025,-118.22,4/6/2016
26.6,2016,4,12,22,0,Long Beach (Hudson),33.8025,-118.22,4/12/2016
50,2016,4,18,23,0,Long Beach (Hudson),33.8025,-118.22,4/18/2016
16.7,2016,4,24,23,0,Long Beach (Hudson),33.8025,-118.22,4/24/2016
11.9,2016,4,30,23,0,Long Beach (Hudson),33.8025,-118.22,4/30/2016
23.8,2016,5,6,23,0,Long Beach (Hudson),33.8025,-118.22,5/6/2016
24.1,2016,5,12,23,0,Long Beach (Hudson),33.8025,-118.22,5/12/2016
21.2,2016,5,18,23,0,Long Beach (Hudson),33.8025,-118.22,5/18/2016
18.1,2016,5,24,22,0,Long Beach (Hudson),33.8025,-118.22,5/24/2016
10.4,2016,5,30,23,0,Long Beach (Hudson),33.8025,-118.22,5/30/2016
11.3,2016,6,5,22,0,Long Beach (Hudson),33.8025,-118.22,6/5/2016
7.6,2016,6,11,22,0,Long Beach (Hudson),33.8025,-118.22,6/11/2016
40.2,2016,6,17,22,0,Long Beach (Hudson),33.8025,-118.22,6/17/2016
18,2016,6,23,22,0,Long Beach (Hudson),33.8025,-118.22,6/23/2016
23.1,2016,6,29,22,0,Long Beach (Hudson),33.8025,-118.22,6/29/2016
12.8,2016,7,5,22,0,Long Beach (Hudson),33.8025,-118.22,7/5/2016
18.9,2016,7,11,22,0,Long Beach (Hudson),33.8025,-118.22,7/11/2016
12,2016,7,17,21,0,Long Beach (Hudson),33.8025,-118.22,7/17/2016
25.3,2016,7,23,21,0,Long Beach (Hudson),33.8025,-118.22,7/23/2016
27.6,2016,7,29,22,0,Long Beach (Hudson),33.8025,-118.22,7/29/2016
21.5,2016,8,4,21,0,Long Beach (Hudson),33.8025,-118.22,8/4/2016
20.4,2016,8,10,21,0,Long Beach (Hudson),33.8025,-118.22,8/10/2016
19.3,2016,8,16,21,0,Long Beach (Hudson),33.8025,-118.22,8/16/2016
26.7,2016,8,22,21,0,Long Beach (Hudson),33.8025,-118.22,8/22/2016
19.7,2016,8,28,21,0,Long Beach (Hudson),33.8025,-118.22,8/28/2016
10.2,2016,9,3,24,0,Long Beach (Hudson),33.8025,-118.22,9/3/2016
14.6,2016,9,9,24,0,Long Beach (Hudson),33.8025,-118.22,9/9/2016
27.5,2016,9,15,24,0,Long Beach (Hudson),33.8025,-118.22,9/15/2016
37.1,2016,9,21,24,0,Long Beach (Hudson),33.8025,-118.22,9/21/2016
59.2,2016,9,27,24,0,Long Beach (Hudson),33.8025,-118.22,9/27/2016
33.5,2016,10,3,24,0,Long Beach (Hudson),33.8025,-118.22,10/3/2016
42.4,2016,10,9,24,0,Long Beach (Hudson),33.8025,-118.22,10/9/2016
13.6,2016,10,15,24,0,Long Beach (Hudson),33.8025,-118.22,10/15/2016
61.7,2016,10,27,24,0,Long Beach (Hudson),33.8025,-118.22,10/27/2016
72.4,2016,11,8,24,0,Long Beach (Hudson),33.8025,-118.22,11/8/2016
71.8,2016,11,14,24,0,Long Beach (Hudson),33.8025,-118.22,11/14/2016
31.2,2016,11,20,24,0,Long Beach (Hudson),33.8025,-118.22,11/20/2016
36.7,2016,11,26,24,0,Long Beach (Hudson),33.8025,-118.22,11/26/2016
47.8,2016,12,2,24,0,Long Beach (Hudson),33.8025,-118.22,12/2/2016
42.6,2016,12,8,24,0,Long Beach (Hudson),33.8025,-118.22,12/8/2016
57.7,2016,12,14,24,0,Long Beach (Hudson),33.8025,-118.22,12/14/2016
65.4,2016,12,20,24,0,Long Beach (Hudson),33.8025,-118.22,12/20/2016
41.4,2016,12,26,24,0,Long Beach (Hudson),33.8025,-118.22,12/26/2016
21.9,2016,1,1,23,0,LAX Hastings,33.95507,-118.43049,1/1/2016
34.6,2016,1,7,23,0,LAX Hastings,33.95507,-118.43049,1/7/2016
39.3,2016,1,13,23,0,LAX Hastings,33.95507,-118.43049,1/13/2016
44.7,2016,1,25,23,0,LAX Hastings,33.95507,-118.43049,1/25/2016
10.5,2016,1,31,23,0,LAX Hastings,33.95507,-118.43049,1/31/2016
36.5,2016,2,6,23,0,LAX Hastings,33.95507,-118.43049,2/6/2016
67.2,2016,2,12,23,0,LAX Hastings,33.95507,-118.43049,2/12/2016
29.6,2016,2,18,23,0,LAX Hastings,33.95507,-118.43049,2/18/2016
22.5,2016,2,24,23,0,LAX Hastings,33.95507,-118.43049,2/24/2016
30.2,2016,3,1,22,0,LAX Hastings,33.95507,-118.43049,3/1/2016
16.4,2016,3,7,23,0,LAX Hastings,33.95507,-118.43049,3/7/2016
28.3,2016,3,13,23,0,LAX Hastings,33.95507,-118.43049,3/13/2016
12.7,2016,3,19,22,0,LAX Hastings,33.95507,-118.43049,3/19/2016
38.2,2016,4,18,23,0,LAX Hastings,33.95507,-118.43049,4/18/2016
15.8,2016,4,24,23,0,LAX Hastings,33.95507,-118.43049,4/24/2016
11.5,2016,4,30,22,0,LAX Hastings,33.95507,-118.43049,4/30/2016
14.7,2016,5,6,23,0,LAX Hastings,33.95507,-118.43049,5/6/2016
2.9,2016,5,18,24,0,LAX Hastings,33.95507,-118.43049,5/18/2016
7.5,2016,5,24,22,0,LAX Hastings,33.95507,-118.43049,5/24/2016
3.4,2016,5,30,24,0,LAX Hastings,33.95507,-118.43049,5/30/2016
6.9,2016,6,5,24,0,LAX Hastings,33.95507,-118.43049,6/5/2016
10.9,2016,6,11,24,0,LAX Hastings,33.95507,-118.43049,6/11/2016
25.6,2016,6,17,24,0,LAX Hastings,33.95507,-118.43049,6/17/2016
16.8,2016,6,23,24,0,LAX Hastings,33.95507,-118.43049,6/23/2016
9.1,2016,6,29,24,0,LAX Hastings,33.95507,-118.43049,6/29/2016
3.7,2016,7,5,24,0,LAX Hastings,33.95507,-118.43049,7/5/2016
13.6,2016,7,11,24,0,LAX Hastings,33.95507,-118.43049,7/11/2016
3.6,2016,7,17,24,0,LAX Hastings,33.95507,-118.43049,7/17/2016
27.3,2016,7,23,24,0,LAX Hastings,33.95507,-118.43049,7/23/2016
5.8,2016,7,29,24,0,LAX Hastings,33.95507,-118.43049,7/29/2016
15,2016,8,4,24,0,LAX Hastings,33.95507,-118.43049,8/4/2016
5.1,2016,8,16,24,0,LAX Hastings,33.95507,-118.43049,8/16/2016
19.3,2016,8,28,24,0,LAX Hastings,33.95507,-118.43049,8/28/2016
8.9,2016,9,3,24,0,LAX Hastings,33.95507,-118.43049,9/3/2016
3.4,2016,9,9,24,0,LAX Hastings,33.95507,-118.43049,9/9/2016
28.4,2016,9,15,24,0,LAX Hastings,33.95507,-118.43049,9/15/2016
42.8,2016,9,27,24,0,LAX Hastings,33.95507,-118.43049,9/27/2016
20.4,2016,10,3,24,0,LAX Hastings,33.95507,-118.43049,10/3/2016
25.9,2016,10,9,24,0,LAX Hastings,33.95507,-118.43049,10/9/2016
