DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
30.9,2016,12,2,23,0,Millbrook School,35.856111,-78.574167,12/2/2016
30.9,2016,12,2,23,0,Millbrook School,35.856111,-78.574167,12/2/2016
30.9,2016,12,2,23,0,Millbrook School,35.856111,-78.574167,12/2/2016
13.9,2016,12,3,23,0,Millbrook School,35.856111,-78.574167,12/3/2016
9.3,2016,12,4,23,0,Millbrook School,35.856111,-78.574167,12/4/2016
9.8,2016,12,5,23,0,Millbrook School,35.856111,-78.574167,12/5/2016
9.8,2016,12,5,23,0,Millbrook School,35.856111,-78.574167,12/5/2016
6.8,2016,12,6,23,0,Millbrook School,35.856111,-78.574167,12/6/2016
27.9,2016,12,7,23,0,Millbrook School,35.856111,-78.574167,12/7/2016
16.7,2016,12,8,23,0,Millbrook School,35.856111,-78.574167,12/8/2016
16.7,2016,12,8,23,0,Millbrook School,35.856111,-78.574167,12/8/2016
16.7,2016,12,8,23,0,Millbrook School,35.856111,-78.574167,12/8/2016
27.4,2016,12,10,23,0,Millbrook School,35.856111,-78.574167,12/10/2016
23.1,2016,12,11,23,0,Millbrook School,35.856111,-78.574167,12/11/2016
23.1,2016,12,11,23,0,Millbrook School,35.856111,-78.574167,12/11/2016
26.4,2016,12,12,23,0,Millbrook School,35.856111,-78.574167,12/12/2016
19.6,2016,12,15,23,0,Millbrook School,35.856111,-78.574167,12/15/2016
7.4,2016,12,16,23,0,Millbrook School,35.856111,-78.574167,12/16/2016
19.1,2016,12,17,23,0,Millbrook School,35.856111,-78.574167,12/17/2016
19.1,2016,12,17,23,0,Millbrook School,35.856111,-78.574167,12/17/2016
13.2,2016,12,18,23,0,Millbrook School,35.856111,-78.574167,12/18/2016
4.8,2016,12,19,23,0,Millbrook School,35.856111,-78.574167,12/19/2016
24.9,2016,12,20,23,0,Millbrook School,35.856111,-78.574167,12/20/2016
24.9,2016,12,20,23,0,Millbrook School,35.856111,-78.574167,12/20/2016
24.9,2016,12,20,23,0,Millbrook School,35.856111,-78.574167,12/20/2016
36.6,2016,12,21,23,0,Millbrook School,35.856111,-78.574167,12/21/2016
21.9,2016,12,22,23,0,Millbrook School,35.856111,-78.574167,12/22/2016
24.7,2016,12,23,23,0,Millbrook School,35.856111,-78.574167,12/23/2016
24.7,2016,12,23,23,0,Millbrook School,35.856111,-78.574167,12/23/2016
21.8,2016,12,24,23,0,Millbrook School,35.856111,-78.574167,12/24/2016
16,2016,12,25,23,0,Millbrook School,35.856111,-78.574167,12/25/2016
17.7,2016,12,26,23,0,Millbrook School,35.856111,-78.574167,12/26/2016
17.7,2016,12,26,23,0,Millbrook School,35.856111,-78.574167,12/26/2016
17.7,2016,12,26,23,0,Millbrook School,35.856111,-78.574167,12/26/2016
6.7,2016,12,27,23,0,Millbrook School,35.856111,-78.574167,12/27/2016
34.6,2016,12,28,19,0,Millbrook School,35.856111,-78.574167,12/28/2016
19.1,2016,12,29,23,0,Millbrook School,35.856111,-78.574167,12/29/2016
19.1,2016,12,29,23,0,Millbrook School,35.856111,-78.574167,12/29/2016
24.5,2016,12,30,23,0,Millbrook School,35.856111,-78.574167,12/30/2016
6.9,2016,1,1,23,0,Millbrook School,35.856111,-78.574167,1/1/2016
6.9,2016,1,1,23,0,Millbrook School,35.856111,-78.574167,1/1/2016
9.5,2016,1,4,23,0,Millbrook School,35.856111,-78.574167,1/4/2016
2.8,2016,1,10,23,0,Millbrook School,35.856111,-78.574167,1/10/2016
35.2,2016,1,13,23,0,Millbrook School,35.856111,-78.574167,1/13/2016
35.2,2016,1,13,23,0,Millbrook School,35.856111,-78.574167,1/13/2016
28.3,2016,1,16,23,0,Millbrook School,35.856111,-78.574167,1/16/2016
5.7,2016,1,22,23,0,Millbrook School,35.856111,-78.574167,1/22/2016
33,2016,1,25,23,0,Millbrook School,35.856111,-78.574167,1/25/2016
33,2016,1,25,23,0,Millbrook School,35.856111,-78.574167,1/25/2016
23,2016,1,28,23,0,Millbrook School,35.856111,-78.574167,1/28/2016
17.9,2016,1,31,23,0,Millbrook School,35.856111,-78.574167,1/31/2016
17.9,2016,1,31,23,0,Millbrook School,35.856111,-78.574167,1/31/2016
