DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
9,2016,8,19,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/19/2016
6,2016,8,20,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/20/2016
10,2016,8,21,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/21/2016
12,2016,8,27,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/27/2016
11,2016,8,29,1,0,Cheyenne NCore,41.18222711,-104.7783342,8/29/2016
11,2016,9,2,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/2/2016
11,2016,9,3,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/3/2016
10,2016,9,4,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/4/2016
10,2016,9,5,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/5/2016
15,2016,9,6,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/6/2016
19,2016,9,8,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/8/2016
11,2016,9,9,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/9/2016
23,2016,9,10,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/10/2016
26,2016,9,11,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/11/2016
15,2016,9,12,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/12/2016
10,2016,9,13,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/13/2016
12,2016,9,14,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/14/2016
8,2016,9,17,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/17/2016
20,2016,9,21,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/21/2016
16,2016,9,22,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/22/2016
19,2016,9,23,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/23/2016
7,2016,9,24,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/24/2016
6,2016,9,25,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/25/2016
9,2016,9,26,1,0,Cheyenne NCore,41.18222711,-104.7783342,9/26/2016
