DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag
0.029,2018,8,12,17,0
0.041,2018,8,18,17,0
0.055,2018,8,24,17,0
0.042,2018,8,30,17,0
0.042,2018,9,5,17,0
0.048,2018,9,11,17,0
0.044,2018,9,29,17,0
0.036,2018,10,5,14,0
0.041,2018,10,11,17,0
0.037,2018,10,17,17,0
0.059,2018,10,29,17,0
0.049,2018,11,4,17,0
0.048,2018,11,10,17,0
0.03,2018,11,16,17,0
0.04,2018,11,22,17,0
0.041,2018,11,28,17,0
0.038,2018,12,4,17,0
0.018,2018,12,10,17,0
0.036,2018,12,16,17,0
0.027,2018,12,22,17,0
0.038,2018,12,28,17,0
0.022,2020,1,4,17,0
0.022,2020,1,4,17,0
0.022,2020,1,4,17,0
0.022,2020,1,4,17,0
0.019,2020,1,10,17,0
0.019,2020,1,10,17,0
0.019,2020,1,10,17,0
0.019,2020,1,10,17,0
0.039,2020,2,21,17,0
0.039,2020,2,21,17,0
0.039,2020,2,21,17,0
0.039,2020,2,21,17,0
0.029,2020,2,27,17,0
0.029,2020,2,27,17,0
0.029,2020,2,27,17,0
0.029,2020,2,27,17,0
0.03,2020,3,4,17,0
0.03,2020,3,4,17,0
0.03,2020,3,4,17,0
0.03,2020,3,4,17,0
0.017,2020,3,10,17,0
0.017,2020,3,10,17,0
0.017,2020,3,10,17,0
0.017,2020,3,10,17,0
0.028,2020,3,16,17,0
0.028,2020,3,16,17,0
0.028,2020,3,16,17,0
0.028,2020,3,16,17,0
0.034,2020,3,22,17,0
0.049,2020,7,2,17,0
0.049,2020,7,2,17,0
0.049,2020,7,2,17,0
0.049,2020,7,2,17,0
0.051,2020,7,8,17,0
0.051,2020,7,8,17,0
0.051,2020,7,8,17,0
0.051,2020,7,8,17,0
0.046,2020,7,14,17,0
0.046,2020,7,14,17,0
0.042,2020,7,20,17,0
0.042,2020,7,20,17,0
0.045,2020,7,26,17,0
0.045,2020,7,26,17,0
0.054,2020,8,1,17,0
0.054,2020,8,1,17,0
0.048,2020,8,7,17,0
0.048,2020,8,7,17,0
0.071,2020,8,15,17,0
0.071,2020,8,15,17,0
0.065,2020,8,19,17,0
0.065,2020,8,19,17,0
0.037,2020,8,25,17,0
0.037,2020,8,25,17,0
0.051,2020,8,31,17,0
0.051,2020,8,31,17,0
0.118,2020,9,6,17,0
0.118,2020,9,6,17,0
0.045,2020,9,12,17,0
0.045,2020,9,12,17,0
0.076,2020,9,18,17,0
0.076,2020,9,18,17,0
0.067,2020,9,24,17,0
0.067,2020,9,24,17,0
0.069,2020,9,30,17,0
0.069,2020,9,30,17,0
0.074,2020,10,6,17,0
0.074,2020,10,6,17,0
0.064,2020,10,12,17,0
0.064,2020,10,12,17,0
0.06,2020,10,18,17,0
0.06,2020,10,18,17,0
0.062,2020,10,28,17,0
0.062,2020,10,28,17,0
0.051,2020,10,30,17,0
0.051,2020,10,30,17,0
0.025,2020,11,5,13,0
0.036,2020,11,11,17,0
0.036,2020,11,11,17,0
0.036,2020,11,11,17,0
0.036,2020,11,11,17,0
0.037,2020,11,17,17,0
0.037,2020,11,17,17,0
0.037,2020,11,17,17,0
0.037,2020,11,17,17,0
0.032,2020,11,23,17,0
0.032,2020,11,23,17,0
0.032,2020,11,23,17,0
0.032,2020,11,23,17,0
0.042,2020,11,29,17,0
0.042,2020,11,29,17,0
0.042,2020,11,29,17,0
0.042,2020,11,29,17,0
0.025,2020,12,5,17,0
0.025,2020,12,5,17,0
0.025,2020,12,5,17,0
0.025,2020,12,5,17,0
0.037,2020,12,11,13,0
0.037,2020,12,11,13,0
0.026,2020,12,17,17,0
0.026,2020,12,17,17,0
0.016,2020,12,23,17,0
0.016,2020,12,23,17,0
0.029,2020,12,29,17,0
0.029,2020,12,29,17,0
0.029,2020,12,29,17,0
0.029,2020,12,29,17,0
0.036,2020,1,4,17,0
0.022,2020,1,10,17,0
0.036,2020,1,16,17,0
0.033,2020,1,22,17,0
0.038,2020,1,28,17,0
0.038,2020,2,3,17,0
0.035,2020,2,9,17,0
0.045,2020,2,15,17,0
0.047,2020,2,21,17,0
0.04,2020,2,27,17,0
0.036,2020,3,4,17,0
0.028,2020,7,2,24,0
0.034,2020,7,8,17,0
0.034,2020,7,14,14,0
0.031,2020,7,20,17,0
0.03,2020,7,26,17,0
0.031,2020,8,1,17,0
0.034,2020,8,7,17,0
0.029,2020,8,19,17,0
0.034,2020,8,27,17,0
0.039,2020,8,31,17,0
0.074,2020,9,6,17,0
0.032,2020,9,12,17,0
0.046,2020,9,18,17,0
0.04,2020,9,24,17,0
0.048,2020,9,30,17,0
0.054,2020,10,6,17,0
0.043,2020,10,12,17,0
0.044,2020,10,18,17,0
0.032,2020,10,24,17,0
0.041,2020,10,30,17,0
0.035,2020,11,11,17,0
0.039,2020,11,17,15,0
0.027,2020,12,5,17,0
0.037,2020,12,11,18,0
0.031,2020,12,17,17,0
0.022,2020,12,23,17,0
0.03,2020,12,29,17,0
