Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
43,0.046,17,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
43,0.046,17,2016,8,22,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
47,0.051,17,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
47,0.051,17,2016,8,28,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
41,0.044,17,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
41,0.044,17,2016,9,3,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
44,0.048,17,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
44,0.048,17,2016,9,9,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
40,0.043,17,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
40,0.043,17,2016,9,15,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
51,0.055,17,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
51,0.055,17,2016,9,27,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
39,0.042,17,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
39,0.042,17,2016,10,3,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
97,0.069,17,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
97,0.069,17,2016,10,9,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
28,0.03,17,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
28,0.03,17,2016,10,15,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
39,0.042,17,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
39,0.042,17,2016,10,21,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
23,0.025,17,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
23,0.025,17,2016,10,27,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
26,0.028,17,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
26,0.028,17,2016,11,2,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
38,0.041,17,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
38,0.041,17,2016,11,8,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
41,0.044,17,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
41,0.044,17,2016,11,14,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
26,0.028,17,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
26,0.028,17,2016,11,20,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
33,0.036,17,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
33,0.036,17,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
29,0.031,17,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
29,0.031,17,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
14,0.015,17,2016,12,14,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
19,0.021,17,2016,12,20,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
29,0.031,17,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
29,0.031,17,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
29,0.031,17,2016,1,7,Long Beach (Hudson),33.8025,-118.22,1/7/2016
16,0.017,17,2016,1,13,Long Beach (Hudson),33.8025,-118.22,1/13/2016
18,0.019,17,2016,1,19,Long Beach (Hudson),33.8025,-118.22,1/19/2016
20,0.022,17,2016,1,25,Long Beach (Hudson),33.8025,-118.22,1/25/2016
31,0.034,17,2016,1,31,Long Beach (Hudson),33.8025,-118.22,1/31/2016
27,0.029,17,2016,2,12,Long Beach (Hudson),33.8025,-118.22,2/12/2016
31,0.033,17,2016,2,18,Long Beach (Hudson),33.8025,-118.22,2/18/2016
