Ozone AQI,DMax Ozone,OZONE-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
18,0.019,17,2018,1,17,Newark Firehouse,40.720989,-74.192892,1/17/2018
31,0.033,17,2018,1,20,Newark Firehouse,40.720989,-74.192892,1/20/2018
25,0.027,17,2018,1,23,Newark Firehouse,40.720989,-74.192892,1/23/2018
18,0.019,17,2018,1,26,Newark Firehouse,40.720989,-74.192892,1/26/2018
19,0.021,17,2018,1,29,Newark Firehouse,40.720989,-74.192892,1/29/2018
14,0.015,17,2018,2,1,Newark Firehouse,40.720989,-74.192892,2/1/2018
22,0.024,17,2018,2,4,Newark Firehouse,40.720989,-74.192892,2/4/2018
32,0.035,17,2018,2,16,Newark Firehouse,40.720989,-74.192892,2/16/2018
19,0.021,17,2018,2,19,Newark Firehouse,40.720989,-74.192892,2/19/2018
19,0.021,17,2018,2,22,Newark Firehouse,40.720989,-74.192892,2/22/2018
18,0.019,17,2018,2,25,Newark Firehouse,40.720989,-74.192892,2/25/2018
31,0.034,17,2018,2,28,Newark Firehouse,40.720989,-74.192892,2/28/2018
33,0.036,17,2018,3,3,Newark Firehouse,40.720989,-74.192892,3/3/2018
31,0.033,17,2018,3,6,Newark Firehouse,40.720989,-74.192892,3/6/2018
31,0.033,17,2018,3,9,Newark Firehouse,40.720989,-74.192892,3/9/2018
30,0.032,17,2018,3,12,Newark Firehouse,40.720989,-74.192892,3/12/2018
39,0.042,17,2018,3,15,Newark Firehouse,40.720989,-74.192892,3/15/2018
33,0.036,17,2018,3,21,Newark Firehouse,40.720989,-74.192892,3/21/2018
42,0.045,17,2018,3,24,Newark Firehouse,40.720989,-74.192892,3/24/2018
24,0.026,17,2018,3,27,Newark Firehouse,40.720989,-74.192892,3/27/2018
32,0.035,17,2018,3,30,Newark Firehouse,40.720989,-74.192892,3/30/2018
32,0.035,17,2018,4,2,Newark Firehouse,40.720989,-74.192892,4/2/2018
40,0.043,17,2018,4,5,Newark Firehouse,40.720989,-74.192892,4/5/2018
40,0.043,17,2018,4,8,Newark Firehouse,40.720989,-74.192892,4/8/2018
36,0.039,17,2018,4,11,Newark Firehouse,40.720989,-74.192892,4/11/2018
48,0.052,17,2018,4,14,Newark Firehouse,40.720989,-74.192892,4/14/2018
29,0.031,17,2018,4,17,Newark Firehouse,40.720989,-74.192892,4/17/2018
32,0.035,17,2018,4,29,Newark Firehouse,40.720989,-74.192892,4/29/2018
37,0.04,17,2018,5,8,Newark Firehouse,40.720989,-74.192892,5/8/2018
46,0.05,17,2018,5,11,Newark Firehouse,40.720989,-74.192892,5/11/2018
25,0.027,17,2018,5,14,Newark Firehouse,40.720989,-74.192892,5/14/2018
20,0.022,17,2018,5,17,Newark Firehouse,40.720989,-74.192892,5/17/2018
34,0.037,17,2018,5,20,Newark Firehouse,40.720989,-74.192892,5/20/2018
67,0.06,17,2018,5,26,Newark Firehouse,40.720989,-74.192892,5/26/2018
29,0.031,17,2018,6,1,Newark Firehouse,40.720989,-74.192892,6/1/2018
22,0.024,17,2018,6,7,Newark Firehouse,40.720989,-74.192892,6/7/2018
24,0.026,17,2018,6,10,Newark Firehouse,40.720989,-74.192892,6/10/2018
36,0.039,17,2018,6,13,Newark Firehouse,40.720989,-74.192892,6/13/2018
41,0.044,17,2018,6,16,Newark Firehouse,40.720989,-74.192892,6/16/2018
38,0.041,17,2018,6,19,Newark Firehouse,40.720989,-74.192892,6/19/2018
32,0.035,17,2018,6,22,Newark Firehouse,40.720989,-74.192892,6/22/2018
34,0.037,17,2018,6,25,Newark Firehouse,40.720989,-74.192892,6/25/2018
44,0.047,17,2018,6,28,Newark Firehouse,40.720989,-74.192892,6/28/2018
40,0.043,17,2018,7,4,Newark Firehouse,40.720989,-74.192892,7/4/2018
38,0.041,17,2018,7,7,Newark Firehouse,40.720989,-74.192892,7/7/2018
133,0.08,17,2018,7,10,Newark Firehouse,40.720989,-74.192892,7/10/2018
61,0.058,17,2018,7,13,Newark Firehouse,40.720989,-74.192892,7/13/2018
90,0.067,17,2018,7,16,Newark Firehouse,40.720989,-74.192892,7/16/2018
50,0.054,17,2018,7,19,Newark Firehouse,40.720989,-74.192892,7/19/2018
25,0.027,17,2018,7,22,Newark Firehouse,40.720989,-74.192892,7/22/2018
39,0.042,17,2018,7,31,Newark Firehouse,40.720989,-74.192892,7/31/2018
23,0.025,17,2018,8,3,Newark Firehouse,40.720989,-74.192892,8/3/2018
71,0.061,17,2018,8,6,Newark Firehouse,40.720989,-74.192892,8/6/2018
