year,month,day,weight,pollutant-name
2015,02,15,12,0.04
2015,02,15,12,0.04
2015,02,15,12,0.04
2015,02,16,3,0.035
2015,02,16,3,0.035
2015,02,16,3,0.035
2015,02,16,3,0.035
2015,02,17,9,0.036
2015,02,17,9,0.036
2015,02,17,9,0.036
2015,02,17,9,0.036
2015,02,18,21,0.038
2015,02,18,21,0.038
2015,02,18,21,0.038
2015,02,18,21,0.038
2015,02,19,0,0.037
2015,02,19,0,0.037
2015,02,19,0,0.037
2015,02,19,0,0.037
2015,02,20,9,0.036
2015,02,20,9,0.036
2015,02,20,9,0.036
2015,02,20,9,0.036
2015,02,21,7,0.026
2015,02,21,7,0.026
2015,02,21,7,0.026
2015,02,21,7,0.026
2015,02,22,10,0.036
2015,02,22,10,0.036
2015,02,22,10,0.036
2015,02,22,10,0.036
2015,02,23,22,0.037
2015,02,23,22,0.037
2015,02,23,22,0.037
2015,02,23,22,0.037
2015,02,24,0,0.038
2015,02,24,0,0.038
2015,02,24,0,0.038
2015,02,24,0,0.038
2015,02,25,10,0.04
2015,02,25,10,0.04
2015,02,25,10,0.04
2015,02,25,10,0.04
2015,02,27,11,0.05
2015,02,27,11,0.05
2015,02,27,11,0.05
2015,02,27,11,0.05
2015,02,28,10,0.04
2015,02,28,10,0.04
2015,02,28,10,0.04
2015,02,28,10,0.04
2015,03,01,1,0.037
2015,03,01,1,0.037
2015,03,01,1,0.037
2015,03,01,1,0.037
2015,03,02,13,0.043
2015,03,02,13,0.043
2015,03,02,13,0.043
2015,03,02,13,0.043
2015,03,03,2,0.038
2015,03,03,2,0.038
2015,03,03,2,0.038
2015,03,03,2,0.038
2015,03,04,11,0.025
2015,03,04,11,0.025
2015,03,04,11,0.025
2015,03,04,11,0.025
2015,03,05,18,0.039
2015,03,05,18,0.039
2015,03,05,18,0.039
2015,03,05,18,0.039
2015,03,06,10,0.04
2015,03,06,10,0.04
2015,03,06,10,0.04
2015,03,06,10,0.04
2015,03,07,10,0.043
2015,03,07,10,0.043
2015,03,07,10,0.043
2015,03,07,10,0.043
2015,03,08,10,0.05
2015,03,08,10,0.05
2015,03,08,10,0.05
2015,03,08,10,0.05
2015,03,09,10,0.041
2015,03,09,10,0.041
2015,03,09,10,0.041
2015,03,09,10,0.041
2015,03,10,10,0.039
2015,03,10,10,0.039
2015,03,10,10,0.039
2015,03,10,10,0.039
2015,03,11,10,0.03
2015,03,11,10,0.03
2015,03,11,10,0.03
2015,03,11,10,0.03
2015,03,12,10,0.049
2015,03,12,10,0.049
2015,03,12,10,0.049
2015,03,12,10,0.049
2015,03,13,9,0.039
2015,03,13,9,0.039
2015,03,13,9,0.039
2015,03,13,9,0.039
2015,03,14,13,0.024
2015,03,14,13,0.024
2015,03,14,13,0.024
2015,03,14,13,0.024
2015,03,15,11,0.045
2015,03,15,11,0.045
2015,03,15,11,0.045
2015,03,15,11,0.045
2015,03,16,10,0.045
2015,03,16,10,0.045
2015,03,16,10,0.045
2015,03,16,10,0.045
2015,03,17,10,0.052
2015,03,17,10,0.052
2015,03,17,10,0.052
2015,03,17,10,0.052
2015,03,18,8,0.044
2015,03,18,8,0.044
2015,03,18,8,0.044
2015,03,18,8,0.044
2015,03,19,20,0.04
2015,03,19,20,0.04
2015,03,19,20,0.04
2015,03,19,20,0.04
2015,03,20,0,0.038
2015,03,20,0,0.038
2015,03,20,0,0.038
2015,03,20,0,0.038
2015,03,21,10,0.037
2015,03,21,10,0.037
2015,03,21,10,0.037
2015,03,21,10,0.037
2015,03,22,10,0.036
2015,03,22,10,0.036
2015,03,22,10,0.036
2015,03,22,10,0.036
2015,03,23,9,0.041
2015,03,23,9,0.041
2015,03,23,9,0.041
2015,03,23,9,0.041
2015,03,24,13,0.046
2015,03,24,13,0.046
2015,03,24,13,0.046
2015,03,24,13,0.046
2015,03,25,10,0.043
2015,03,25,10,0.043
2015,03,25,10,0.043
2015,03,25,10,0.043
