DMax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,Site Name,LAt,Lng,Date
0.026,2020,9,24,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/24/2020
0.029,2020,9,27,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/27/2020
0.002,2020,9,30,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/30/2020
0.01,2020,10,3,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/3/2020
0.017,2020,10,6,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/6/2020
0.023,2020,10,9,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/9/2020
0.031,2020,10,12,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/12/2020
0.023,2020,10,15,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/15/2020
0.026,2020,10,18,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/18/2020
0.026,2020,10,21,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/21/2020
0.028,2020,10,24,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/24/2020
0.017,2020,10,27,13,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/27/2020
0.033,2020,11,8,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/8/2020
0.013,2020,11,11,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/11/2020
0.029,2020,11,14,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/14/2020
0.034,2020,11,17,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/17/2020
0.017,2020,11,20,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/20/2020
0.015,2020,11,23,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/23/2020
0.024,2020,11,26,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/26/2020
0.01,2020,11,29,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/29/2020
0.012,2020,12,2,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/2/2020
0.027,2020,12,5,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/5/2020
0.029,2020,12,8,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/8/2020
0.025,2020,12,14,15,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/14/2020
0.027,2020,12,17,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/17/2020
0.034,2020,12,20,17,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/20/2020
0.033,2020,12,26,13,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/26/2020
0.004,2020,12,29,15,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/29/2020
