Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
8/4/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
8/10/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
8/16/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
8/22/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
8/28/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
9/3/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
9/9/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
9/15/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
9/21/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
9/27/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
10/3/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
10/9/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
10/15/2016,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
10/21/2016,AQS,481410037,1,0.01,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
10/27/2016,AQS,481410037,1,0.006,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
11/2/2016,AQS,481410037,1,0.01,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
11/8/2016,AQS,481410037,1,0.005,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
11/14/2016,AQS,481410037,1,0.005,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
11/20/2016,AQS,481410037,1,0.007,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
11/26/2016,AQS,481410037,1,0.005,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
12/2/2016,AQS,481410037,1,0.012,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
12/8/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
12/14/2016,AQS,481410037,1,0.007,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
12/20/2016,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/1/2016,AQS,481410055,1,0.002,ug/m3 LC,.,Ascarate Park SE,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.746775,-106.402806
