Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
5/26/2020,AQS,530330010,1,0.033,ppm,31,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/27/2020,AQS,530330010,1,0.044,ppm,41,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/28/2020,AQS,530330010,1,0.052,ppm,48,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/29/2020,AQS,530330010,1,0.048,ppm,44,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/30/2020,AQS,530330010,1,0.023,ppm,21,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
5/31/2020,AQS,530330010,1,0.024,ppm,22,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
6/1/2020,AQS,530330010,1,0.038,ppm,35,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
6/2/2020,AQS,530330010,1,0.029,ppm,27,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
6/3/2020,AQS,530330010,1,0.039,ppm,36,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
6/4/2020,AQS,530330010,1,0.038,ppm,35,ISSAQUAH -  LAKE SAMMAMISH (Wiithin Lake Sammamish State Park),17,100,44201,Ozone,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.5525,-122.064722
