NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
9,10.1,24,2016,5,27,Cheyenne NCore,41.18222711,-104.7783342,5/27/2016
7,7.8,23,2016,5,28,Cheyenne NCore,41.18222711,-104.7783342,5/28/2016
26,28.8,23,2016,5,29,Cheyenne NCore,41.18222711,-104.7783342,5/29/2016
10,11.7,24,2016,8,13,Cheyenne NCore,41.18222711,-104.7783342,8/13/2016
8,9,21,2016,8,14,Cheyenne NCore,41.18222711,-104.7783342,8/14/2016
5,5.4,24,2016,8,15,Cheyenne NCore,41.18222711,-104.7783342,8/15/2016
17,18,24,2016,8,17,Cheyenne NCore,41.18222711,-104.7783342,8/17/2016
4,4.1,22,2016,8,18,Cheyenne NCore,41.18222711,-104.7783342,8/18/2016
5,5.7,24,2016,8,19,Cheyenne NCore,41.18222711,-104.7783342,8/19/2016
8,9.9,22,2016,8,20,Cheyenne NCore,41.18222711,-104.7783342,8/20/2016
12,13,23,2016,8,21,Cheyenne NCore,41.18222711,-104.7783342,8/21/2016
24,25.2,24,2016,8,27,Cheyenne NCore,41.18222711,-104.7783342,8/27/2016
13,14.5,24,2016,8,29,Cheyenne NCore,41.18222711,-104.7783342,8/29/2016
8,9.3,24,2016,9,2,Cheyenne NCore,41.18222711,-104.7783342,9/2/2016
15,16.3,23,2016,9,3,Cheyenne NCore,41.18222711,-104.7783342,9/3/2016
13,14.8,23,2016,9,4,Cheyenne NCore,41.18222711,-104.7783342,9/4/2016
21,22.6,23,2016,9,5,Cheyenne NCore,41.18222711,-104.7783342,9/5/2016
4,4.5,24,2016,9,6,Cheyenne NCore,41.18222711,-104.7783342,9/6/2016
10,11.4,24,2016,9,8,Cheyenne NCore,41.18222711,-104.7783342,9/8/2016
4,4.9,23,2016,9,9,Cheyenne NCore,41.18222711,-104.7783342,9/9/2016
15,16.1,24,2016,9,10,Cheyenne NCore,41.18222711,-104.7783342,9/10/2016
4,4.5,22,2016,9,11,Cheyenne NCore,41.18222711,-104.7783342,9/11/2016
2,2.2,24,2016,9,12,Cheyenne NCore,41.18222711,-104.7783342,9/12/2016
4,4.8,23,2016,9,13,Cheyenne NCore,41.18222711,-104.7783342,9/13/2016
7,7.2,24,2016,9,14,Cheyenne NCore,41.18222711,-104.7783342,9/14/2016
16,17.5,23,2016,9,17,Cheyenne NCore,41.18222711,-104.7783342,9/17/2016
3,3.9,23,2016,9,21,Cheyenne NCore,41.18222711,-104.7783342,9/21/2016
8,9.2,24,2016,9,22,Cheyenne NCore,41.18222711,-104.7783342,9/22/2016
8,8.9,23,2016,9,23,Cheyenne NCore,41.18222711,-104.7783342,9/23/2016
7,7.1,24,2016,9,24,Cheyenne NCore,41.18222711,-104.7783342,9/24/2016
14,15.7,22,2016,9,25,Cheyenne NCore,41.18222711,-104.7783342,9/25/2016
9,10.1,24,2016,9,26,Cheyenne NCore,41.18222711,-104.7783342,9/26/2016
5,5.9,23,2016,9,27,Cheyenne NCore,41.18222711,-104.7783342,9/27/2016
6,6.9,24,2016,9,28,Cheyenne NCore,41.18222711,-104.7783342,9/28/2016
14,15.4,23,2016,9,29,Cheyenne NCore,41.18222711,-104.7783342,9/29/2016
13,14.1,24,2016,9,30,Cheyenne NCore,41.18222711,-104.7783342,9/30/2016
13,14.1,23,2016,10,1,Cheyenne NCore,41.18222711,-104.7783342,10/1/2016
