NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
6,6,24,2020,01,01,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
22,23.1,24,2020,01,07,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
16,17,23,2020,01,10,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
19,20.1,24,2020,01,13,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
21,22.1,24,2020,01,16,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
26,28.4,24,2020,01,19,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
19,20.7,23,2020,01,22,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
12,13.1,24,2020,01,25,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
19,20.7,24,2020,01,28,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
12,13.2,24,2020,01,31,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
21,22.9,23,2020,02,03,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
33,35.3,24,2020,02,06,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
19,20.8,24,2020,02,09,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
13,14.5,23,2020,02,15,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
15,16.3,24,2020,02,18,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
24,25.3,24,2020,02,21,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
14,15.2,24,2020,02,24,SEATTLE - BEACON HILL,47.568236,-122.308628,2/24/2020
32,34.6,23,2020,02,27,SEATTLE - BEACON HILL,47.568236,-122.308628,2/27/2020
11,12.2,24,2020,03,01,SEATTLE - BEACON HILL,47.568236,-122.308628,3/1/2020
18,19.7,24,2020,03,04,SEATTLE - BEACON HILL,47.568236,-122.308628,3/4/2020
16,17.7,24,2020,08,07,SEATTLE - BEACON HILL,47.568236,-122.308628,8/7/2020
