NO2 AQI,DMax NO2,NO2-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
39,41,24,2016,11,29,Newark Firehouse,40.720989,-74.192892,11/29/2016
15,16,24,2016,12,2,Newark Firehouse,40.720989,-74.192892,12/2/2016
31,33,24,2016,12,5,Newark Firehouse,40.720989,-74.192892,12/5/2016
25,26,24,2016,12,8,Newark Firehouse,40.720989,-74.192892,12/8/2016
32,34,21,2016,12,11,Newark Firehouse,40.720989,-74.192892,12/11/2016
38,40,24,2016,12,17,Newark Firehouse,40.720989,-74.192892,12/17/2016
39,41,24,2016,12,20,Newark Firehouse,40.720989,-74.192892,12/20/2016
27,29,24,2018,1,2,Newark Firehouse,40.720989,-74.192892,1/2/2018
9,10,24,2018,1,5,Newark Firehouse,40.720989,-74.192892,1/5/2018
34,36,24,2018,1,8,Newark Firehouse,40.720989,-74.192892,1/8/2018
76,77,24,2018,1,11,Newark Firehouse,40.720989,-74.192892,1/11/2018
32,34,24,2018,1,17,Newark Firehouse,40.720989,-74.192892,1/17/2018
41,43,24,2018,1,20,Newark Firehouse,40.720989,-74.192892,1/20/2018
45,48,24,2018,1,23,Newark Firehouse,40.720989,-74.192892,1/23/2018
35,37,24,2018,1,26,Newark Firehouse,40.720989,-74.192892,1/26/2018
27,29,24,2018,1,29,Newark Firehouse,40.720989,-74.192892,1/29/2018
36,38,24,2018,2,1,Newark Firehouse,40.720989,-74.192892,2/1/2018
40,42,21,2018,2,4,Newark Firehouse,40.720989,-74.192892,2/4/2018
24,25,24,2018,2,16,Newark Firehouse,40.720989,-74.192892,2/16/2018
41,43,24,2018,2,19,Newark Firehouse,40.720989,-74.192892,2/19/2018
17,18,24,2018,2,22,Newark Firehouse,40.720989,-74.192892,2/22/2018
20,21,21,2018,2,25,Newark Firehouse,40.720989,-74.192892,2/25/2018
41,43,24,2018,2,28,Newark Firehouse,40.720989,-74.192892,2/28/2018
8,8,24,2018,3,3,Newark Firehouse,40.720989,-74.192892,3/3/2018
33,35,24,2018,3,6,Newark Firehouse,40.720989,-74.192892,3/6/2018
24,25,24,2018,3,9,Newark Firehouse,40.720989,-74.192892,3/9/2018
25,26,24,2018,3,12,Newark Firehouse,40.720989,-74.192892,3/12/2018
15,16,24,2018,3,15,Newark Firehouse,40.720989,-74.192892,3/15/2018
13,14,24,2018,3,21,Newark Firehouse,40.720989,-74.192892,3/21/2018
9,10,24,2018,3,24,Newark Firehouse,40.720989,-74.192892,3/24/2018
36,38,24,2018,3,27,Newark Firehouse,40.720989,-74.192892,3/27/2018
43,46,24,2018,3,30,Newark Firehouse,40.720989,-74.192892,3/30/2018
37,39,24,2018,4,2,Newark Firehouse,40.720989,-74.192892,4/2/2018
37,39,24,2018,4,5,Newark Firehouse,40.720989,-74.192892,4/5/2018
8,9,21,2018,4,8,Newark Firehouse,40.720989,-74.192892,4/8/2018
40,42,24,2018,4,11,Newark Firehouse,40.720989,-74.192892,4/11/2018
23,24,24,2018,4,14,Newark Firehouse,40.720989,-74.192892,4/14/2018
8,9,24,2018,4,17,Newark Firehouse,40.720989,-74.192892,4/17/2018
8,9,21,2018,4,29,Newark Firehouse,40.720989,-74.192892,4/29/2018
29,31,24,2018,5,8,Newark Firehouse,40.720989,-74.192892,5/8/2018
25,26,24,2018,5,11,Newark Firehouse,40.720989,-74.192892,5/11/2018
36,38,24,2018,5,14,Newark Firehouse,40.720989,-74.192892,5/14/2018
25,27,24,2018,5,17,Newark Firehouse,40.720989,-74.192892,5/17/2018
22,23,21,2018,5,20,Newark Firehouse,40.720989,-74.192892,5/20/2018
20,21,24,2018,5,26,Newark Firehouse,40.720989,-74.192892,5/26/2018
39,41,24,2018,6,1,Newark Firehouse,40.720989,-74.192892,6/1/2018
23,24,24,2018,6,7,Newark Firehouse,40.720989,-74.192892,6/7/2018
24,25,21,2018,6,10,Newark Firehouse,40.720989,-74.192892,6/10/2018
18,19,24,2018,6,13,Newark Firehouse,40.720989,-74.192892,6/13/2018
20,21,24,2018,6,16,Newark Firehouse,40.720989,-74.192892,6/16/2018
11,12,24,2018,6,19,Newark Firehouse,40.720989,-74.192892,6/19/2018
21,22,24,2018,6,22,Newark Firehouse,40.720989,-74.192892,6/22/2018
11,12,24,2018,6,25,Newark Firehouse,40.720989,-74.192892,6/25/2018
27,29,24,2018,6,28,Newark Firehouse,40.720989,-74.192892,6/28/2018
23,24,21,2018,7,4,Newark Firehouse,40.720989,-74.192892,7/4/2018
12,13,24,2018,7,7,Newark Firehouse,40.720989,-74.192892,7/7/2018
27,29,24,2018,7,10,Newark Firehouse,40.720989,-74.192892,7/10/2018
28,30,24,2018,7,13,Newark Firehouse,40.720989,-74.192892,7/13/2018
19,20,24,2018,7,16,Newark Firehouse,40.720989,-74.192892,7/16/2018
14,15,24,2018,7,19,Newark Firehouse,40.720989,-74.192892,7/19/2018
11,12,21,2018,7,22,Newark Firehouse,40.720989,-74.192892,7/22/2018
25,26,21,2018,7,31,Newark Firehouse,40.720989,-74.192892,7/31/2018
26,28,21,2018,8,3,Newark Firehouse,40.720989,-74.192892,8/3/2018
27,29,19,2018,8,6,Newark Firehouse,40.720989,-74.192892,8/6/2018
18,19,24,2018,8,9,Newark Firehouse,40.720989,-74.192892,8/9/2018
18,19,21,2018,8,12,Newark Firehouse,40.720989,-74.192892,8/12/2018
15,16,24,2018,8,15,Newark Firehouse,40.720989,-74.192892,8/15/2018
11,12,24,2018,8,18,Newark Firehouse,40.720989,-74.192892,8/18/2018
26,28,24,2018,8,21,Newark Firehouse,40.720989,-74.192892,8/21/2018
25,26,24,2018,8,24,Newark Firehouse,40.720989,-74.192892,8/24/2018
28,30,24,2018,8,27,Newark Firehouse,40.720989,-74.192892,8/27/2018
20,21,24,2018,8,30,Newark Firehouse,40.720989,-74.192892,8/30/2018
19,20,21,2018,9,2,Newark Firehouse,40.720989,-74.192892,9/2/2018
37,39,24,2018,9,5,Newark Firehouse,40.720989,-74.192892,9/5/2018
8,9,24,2018,9,8,Newark Firehouse,40.720989,-74.192892,9/8/2018
27,29,24,2018,9,11,Newark Firehouse,40.720989,-74.192892,9/11/2018
25,26,24,2018,9,14,Newark Firehouse,40.720989,-74.192892,9/14/2018
28,30,24,2018,9,17,Newark Firehouse,40.720989,-74.192892,9/17/2018
23,24,24,2018,9,20,Newark Firehouse,40.720989,-74.192892,9/20/2018
11,12,21,2018,9,23,Newark Firehouse,40.720989,-74.192892,9/23/2018
17,18,24,2018,9,26,Newark Firehouse,40.720989,-74.192892,9/26/2018
25,26,24,2018,9,29,Newark Firehouse,40.720989,-74.192892,9/29/2018
24,25,24,2018,10,2,Newark Firehouse,40.720989,-74.192892,10/2/2018
22,23,24,2018,10,5,Newark Firehouse,40.720989,-74.192892,10/5/2018
19,20,24,2018,10,8,Newark Firehouse,40.720989,-74.192892,10/8/2018
25,26,24,2018,10,11,Newark Firehouse,40.720989,-74.192892,10/11/2018
22,23,24,2018,10,17,Newark Firehouse,40.720989,-74.192892,10/17/2018
31,33,24,2018,10,20,Newark Firehouse,40.720989,-74.192892,10/20/2018
34,36,24,2018,10,23,Newark Firehouse,40.720989,-74.192892,10/23/2018
29,31,24,2018,10,26,Newark Firehouse,40.720989,-74.192892,10/26/2018
25,27,24,2018,10,29,Newark Firehouse,40.720989,-74.192892,10/29/2018
53,56,24,2018,11,1,Newark Firehouse,40.720989,-74.192892,11/1/2018
33,35,21,2018,11,4,Newark Firehouse,40.720989,-74.192892,11/4/2018
25,26,24,2018,11,7,Newark Firehouse,40.720989,-74.192892,11/7/2018
24,25,24,2018,11,10,Newark Firehouse,40.720989,-74.192892,11/10/2018
34,36,24,2018,11,13,Newark Firehouse,40.720989,-74.192892,11/13/2018
19,20,24,2018,11,16,Newark Firehouse,40.720989,-74.192892,11/16/2018
43,46,24,2018,11,19,Newark Firehouse,40.720989,-74.192892,11/19/2018
8,9,24,2018,11,22,Newark Firehouse,40.720989,-74.192892,11/22/2018
31,33,21,2018,11,25,Newark Firehouse,40.720989,-74.192892,11/25/2018
8,9,24,2018,11,28,Newark Firehouse,40.720989,-74.192892,11/28/2018
