PM10 AQI,DMean PM10,PM-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
21,23,1,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
21,23,1,2016,11,26,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
33,36,1,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
33,36,1,2016,12,8,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
55,64,1,2016,12,14,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
26,28,1,2016,12,20,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
18,19,1,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
18,19,1,2016,12,26,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
14,15,1,2016,1,7,Long Beach (Hudson),33.8025,-118.22,1/7/2016
41,44,1,2016,1,13,Long Beach (Hudson),33.8025,-118.22,1/13/2016
24,26,1,2016,1,19,Long Beach (Hudson),33.8025,-118.22,1/19/2016
40,43,1,2016,1,25,Long Beach (Hudson),33.8025,-118.22,1/25/2016
22,24,1,2016,1,31,Long Beach (Hudson),33.8025,-118.22,1/31/2016
50,54,1,2016,2,12,Long Beach (Hudson),33.8025,-118.22,2/12/2016
24,26,1,2016,2,18,Long Beach (Hudson),33.8025,-118.22,2/18/2016
41,44,1,2016,2,24,Long Beach (Hudson),33.8025,-118.22,2/24/2016
37,40,1,2016,3,1,Long Beach (Hudson),33.8025,-118.22,3/1/2016
25,27,1,2016,3,7,Long Beach (Hudson),33.8025,-118.22,3/7/2016
16,17,1,2016,3,13,Long Beach (Hudson),33.8025,-118.22,3/13/2016
22,24,1,2016,3,19,Long Beach (Hudson),33.8025,-118.22,3/19/2016
25,27,1,2016,3,25,Long Beach (Hudson),33.8025,-118.22,3/25/2016
35,38,1,2016,3,31,Long Beach (Hudson),33.8025,-118.22,3/31/2016
30,32,1,2016,4,6,Long Beach (Hudson),33.8025,-118.22,4/6/2016
23,25,1,2016,4,12,Long Beach (Hudson),33.8025,-118.22,4/12/2016
29,31,1,2016,4,18,Long Beach (Hudson),33.8025,-118.22,4/18/2016
27,29,1,2016,4,24,Long Beach (Hudson),33.8025,-118.22,4/24/2016
21,23,1,2016,4,30,Long Beach (Hudson),33.8025,-118.22,4/30/2016
11,12,1,2016,5,6,Long Beach (Hudson),33.8025,-118.22,5/6/2016
20,22,1,2016,5,12,Long Beach (Hudson),33.8025,-118.22,5/12/2016
23,25,1,2016,5,18,Long Beach (Hudson),33.8025,-118.22,5/18/2016
18,19,1,2016,5,24,Long Beach (Hudson),33.8025,-118.22,5/24/2016
15,16,1,2016,5,30,Long Beach (Hudson),33.8025,-118.22,5/30/2016
10,11,1,2016,6,5,Long Beach (Hudson),33.8025,-118.22,6/5/2016
7,8,1,2016,6,11,Long Beach (Hudson),33.8025,-118.22,6/11/2016
45,49,1,2016,6,17,Long Beach (Hudson),33.8025,-118.22,6/17/2016
23,25,1,2016,6,23,Long Beach (Hudson),33.8025,-118.22,6/23/2016
29,31,1,2016,6,29,Long Beach (Hudson),33.8025,-118.22,6/29/2016
18,19,1,2016,7,5,Long Beach (Hudson),33.8025,-118.22,7/5/2016
29,31,1,2016,7,11,Long Beach (Hudson),33.8025,-118.22,7/11/2016
17,18,1,2016,7,17,Long Beach (Hudson),33.8025,-118.22,7/17/2016
33,36,1,2016,7,23,Long Beach (Hudson),33.8025,-118.22,7/23/2016
27,29,1,2016,7,29,Long Beach (Hudson),33.8025,-118.22,7/29/2016
24,26,1,2016,8,4,Long Beach (Hudson),33.8025,-118.22,8/4/2016
24,26,1,2016,8,10,Long Beach (Hudson),33.8025,-118.22,8/10/2016
28,30,1,2016,8,16,Long Beach (Hudson),33.8025,-118.22,8/16/2016
25,27,1,2016,8,22,Long Beach (Hudson),33.8025,-118.22,8/22/2016
25,27,1,2016,8,28,Long Beach (Hudson),33.8025,-118.22,8/28/2016
18,19,1,2016,9,3,Long Beach (Hudson),33.8025,-118.22,9/3/2016
31,33,1,2016,9,9,Long Beach (Hudson),33.8025,-118.22,9/9/2016
31,33,1,2016,9,15,Long Beach (Hudson),33.8025,-118.22,9/15/2016
29,31,1,2016,9,21,Long Beach (Hudson),33.8025,-118.22,9/21/2016
51,55,1,2016,9,27,Long Beach (Hudson),33.8025,-118.22,9/27/2016
48,52,1,2016,10,3,Long Beach (Hudson),33.8025,-118.22,10/3/2016
27,29,1,2016,10,9,Long Beach (Hudson),33.8025,-118.22,10/9/2016
16,17,1,2016,10,15,Long Beach (Hudson),33.8025,-118.22,10/15/2016
45,49,1,2016,10,27,Long Beach (Hudson),33.8025,-118.22,10/27/2016
52,58,1,2016,11,8,Long Beach (Hudson),33.8025,-118.22,11/8/2016
49,53,1,2016,11,14,Long Beach (Hudson),33.8025,-118.22,11/14/2016
16,17,1,2016,11,20,Long Beach (Hudson),33.8025,-118.22,11/20/2016
22,24,1,2016,11,26,Long Beach (Hudson),33.8025,-118.22,11/26/2016
50,54,1,2016,12,2,Long Beach (Hudson),33.8025,-118.22,12/2/2016
38,41,1,2016,12,8,Long Beach (Hudson),33.8025,-118.22,12/8/2016
47,51,1,2016,12,14,Long Beach (Hudson),33.8025,-118.22,12/14/2016
61,75,1,2016,12,20,Long Beach (Hudson),33.8025,-118.22,12/20/2016
22,24,1,2016,12,26,Long Beach (Hudson),33.8025,-118.22,12/26/2016
11,12,1,2016,1,1,LAX Hastings,33.95507,-118.43049,1/1/2016
13,14,1,2016,1,7,LAX Hastings,33.95507,-118.43049,1/7/2016
17,18,1,2016,1,13,LAX Hastings,33.95507,-118.43049,1/13/2016
17,18,1,2016,1,25,LAX Hastings,33.95507,-118.43049,1/25/2016
17,18,1,2016,1,31,LAX Hastings,33.95507,-118.43049,1/31/2016
11,12,1,2016,2,6,LAX Hastings,33.95507,-118.43049,2/6/2016
36,39,1,2016,2,12,LAX Hastings,33.95507,-118.43049,2/12/2016
13,14,1,2016,2,18,LAX Hastings,33.95507,-118.43049,2/18/2016
19,20,1,2016,2,24,LAX Hastings,33.95507,-118.43049,2/24/2016
34,37,1,2016,3,1,LAX Hastings,33.95507,-118.43049,3/1/2016
15,16,1,2016,3,7,LAX Hastings,33.95507,-118.43049,3/7/2016
18,19,1,2016,3,13,LAX Hastings,33.95507,-118.43049,3/13/2016
26,28,1,2016,3,19,LAX Hastings,33.95507,-118.43049,3/19/2016
23,25,1,2016,4,18,LAX Hastings,33.95507,-118.43049,4/18/2016
28,30,1,2016,4,24,LAX Hastings,33.95507,-118.43049,4/24/2016
23,25,1,2016,4,30,LAX Hastings,33.95507,-118.43049,4/30/2016
8,9,1,2016,5,6,LAX Hastings,33.95507,-118.43049,5/6/2016
12,13,1,2016,5,18,LAX Hastings,33.95507,-118.43049,5/18/2016
9,10,1,2016,5,24,LAX Hastings,33.95507,-118.43049,5/24/2016
12,13,1,2016,5,30,LAX Hastings,33.95507,-118.43049,5/30/2016
6,6,1,2016,6,5,LAX Hastings,33.95507,-118.43049,6/5/2016
7,8,1,2016,6,11,LAX Hastings,33.95507,-118.43049,6/11/2016
30,32,1,2016,6,17,LAX Hastings,33.95507,-118.43049,6/17/2016
19,21,1,2016,6,23,LAX Hastings,33.95507,-118.43049,6/23/2016
17,18,1,2016,6,29,LAX Hastings,33.95507,-118.43049,6/29/2016
12,13,1,2016,7,5,LAX Hastings,33.95507,-118.43049,7/5/2016
26,28,1,2016,7,11,LAX Hastings,33.95507,-118.43049,7/11/2016
12,13,1,2016,7,17,LAX Hastings,33.95507,-118.43049,7/17/2016
37,40,1,2016,7,23,LAX Hastings,33.95507,-118.43049,7/23/2016
17,18,1,2016,7,29,LAX Hastings,33.95507,-118.43049,7/29/2016
21,23,1,2016,8,4,LAX Hastings,33.95507,-118.43049,8/4/2016
17,18,1,2016,8,16,LAX Hastings,33.95507,-118.43049,8/16/2016
22,24,1,2016,8,28,LAX Hastings,33.95507,-118.43049,8/28/2016
18,19,1,2016,9,3,LAX Hastings,33.95507,-118.43049,9/3/2016
20,22,1,2016,9,9,LAX Hastings,33.95507,-118.43049,9/9/2016
25,27,1,2016,9,15,LAX Hastings,33.95507,-118.43049,9/15/2016
40,43,1,2016,9,27,LAX Hastings,33.95507,-118.43049,9/27/2016
30,32,1,2016,10,3,LAX Hastings,33.95507,-118.43049,10/3/2016
21,23,1,2016,10,9,LAX Hastings,33.95507,-118.43049,10/9/2016
24,26,1,2016,10,21,LAX Hastings,33.95507,-118.43049,10/21/2016
22,24,1,2016,10,27,LAX Hastings,33.95507,-118.43049,10/27/2016
26,28,1,2016,11,2,LAX Hastings,33.95507,-118.43049,11/2/2016
32,35,1,2016,11,8,LAX Hastings,33.95507,-118.43049,11/8/2016
28,30,1,2016,11,14,LAX Hastings,33.95507,-118.43049,11/14/2016
18,19,1,2016,11,20,LAX Hastings,33.95507,-118.43049,11/20/2016
20,22,1,2016,11,26,LAX Hastings,33.95507,-118.43049,11/26/2016
40,43,1,2016,12,2,LAX Hastings,33.95507,-118.43049,12/2/2016
23,25,1,2016,12,8,LAX Hastings,33.95507,-118.43049,12/8/2016
26,28,1,2016,12,14,LAX Hastings,33.95507,-118.43049,12/14/2016
18,19,1,2016,12,21,LAX Hastings,33.95507,-118.43049,12/21/2016
17,18,1,2016,12,26,LAX Hastings,33.95507,-118.43049,12/26/2016
