D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
,23,21,1,24,23,21,0.043,40,17,0.1,0,23,0.4,5,24,2018,07,04,Newark Firehouse,40.720989,-74.192892,7/4/2018
,9,8,1,13,12,24,0.041,38,17,0.4,0,24,0.2,2,24,2018,07,07,Newark Firehouse,40.720989,-74.192892,7/7/2018
,19,18,1,29,27,24,0.08,133,17,0.6,0,24,0.3,3,24,2018,07,10,Newark Firehouse,40.720989,-74.192892,7/10/2018
,24,22,1,30,28,24,0.058,61,17,1.1,1,24,0.4,5,24,2018,07,13,Newark Firehouse,40.720989,-74.192892,7/13/2018
,22,20,1,20,19,24,0.067,90,17,0.6,0,23,0.3,3,24,2018,07,16,Newark Firehouse,40.720989,-74.192892,7/16/2018
,14,13,1,15,14,24,0.054,50,17,0.5,0,24,0.2,2,24,2018,07,19,Newark Firehouse,40.720989,-74.192892,7/19/2018
,18,17,1,12,11,21,0.027,25,17,0,0,24,0.2,2,24,2018,07,22,Newark Firehouse,40.720989,-74.192892,7/22/2018
,14,13,1,26,25,21,0.042,39,17,0.7,0,23,0.4,5,24,2018,07,31,Newark Firehouse,40.720989,-74.192892,7/31/2018
,14,13,1,28,26,21,0.025,23,17,0,0,24,0.3,3,24,2018,08,03,Newark Firehouse,40.720989,-74.192892,8/3/2018
,24,22,1,29,27,19,0.061,71,17,0.1,0,23,0.4,5,24,2018,08,06,Newark Firehouse,40.720989,-74.192892,8/6/2018
,13,12,1,19,18,24,0.051,47,17,0,0,24,0.3,3,24,2018,08,09,Newark Firehouse,40.720989,-74.192892,8/9/2018
,14,13,1,19,18,21,0.051,47,17,0,0,24,0.5,6,24,2018,08,12,Newark Firehouse,40.720989,-74.192892,8/12/2018
,22,20,1,16,15,24,0.046,43,17,0.2,0,24,0.4,5,24,2018,08,15,Newark Firehouse,40.720989,-74.192892,8/15/2018
,16,15,1,12,11,24,0.044,41,17,0,0,24,0.3,3,24,2018,08,18,Newark Firehouse,40.720989,-74.192892,8/18/2018
,13,12,1,28,26,24,0.024,22,17,0.3,0,24,0.2,2,24,2018,08,21,Newark Firehouse,40.720989,-74.192892,8/21/2018
,20,19,1,26,25,24,0.054,50,17,0.3,0,24,0.4,5,24,2018,08,24,Newark Firehouse,40.720989,-74.192892,8/24/2018
,24,22,1,30,28,24,0.057,58,17,0.5,0,23,0.4,5,24,2018,08,27,Newark Firehouse,40.720989,-74.192892,8/27/2018
,14,13,1,21,20,24,0.041,38,17,0.1,0,24,0.3,3,24,2018,08,30,Newark Firehouse,40.720989,-74.192892,8/30/2018
,14,13,1,20,19,21,0.037,34,17,0.8,0,24,0.4,5,24,2018,09,02,Newark Firehouse,40.720989,-74.192892,9/2/2018
,11,10,1,39,37,24,0.048,44,17,0.2,0,24,0.4,5,24,2018,09,05,Newark Firehouse,40.720989,-74.192892,9/5/2018
,10,9,1,9,8,24,0.023,21,17,0.1,0,24,0.3,3,24,2018,09,08,Newark Firehouse,40.720989,-74.192892,9/8/2018
,10,9,1,29,27,24,0.005,5,17,0.4,0,24,0.6,7,24,2018,09,11,Newark Firehouse,40.720989,-74.192892,9/11/2018
,10,9,1,26,25,24,0.015,14,17,0.4,0,24,0.3,3,24,2018,09,14,Newark Firehouse,40.720989,-74.192892,9/14/2018
,15,14,1,30,28,24,0.019,18,17,0.4,0,23,0.5,6,24,2018,09,17,Newark Firehouse,40.720989,-74.192892,9/17/2018
,11,10,1,24,23,24,0.021,19,17,0.5,0,23,0.3,3,24,2018,09,20,Newark Firehouse,40.720989,-74.192892,9/20/2018
,7,6,1,12,11,21,0.019,18,17,0.1,0,24,0.3,3,24,2018,09,23,Newark Firehouse,40.720989,-74.192892,9/23/2018
,12,11,1,18,17,24,0.028,26,17,0,0,24,0.3,3,24,2018,09,26,Newark Firehouse,40.720989,-74.192892,9/26/2018
,10,9,1,26,25,24,0.037,34,17,0.3,0,24,0.5,6,24,2018,09,29,Newark Firehouse,40.720989,-74.192892,9/29/2018
,16,15,1,25,24,24,0.039,36,17,0.1,0,24,0.3,3,24,2018,10,02,Newark Firehouse,40.720989,-74.192892,10/2/2018
,12,11,1,23,22,24,0.023,21,17,0.5,0,24,0.5,6,24,2018,10,05,Newark Firehouse,40.720989,-74.192892,10/5/2018
,14,13,1,20,19,24,0.005,5,17,0.1,0,23,0.8,9,24,2018,10,08,Newark Firehouse,40.720989,-74.192892,10/8/2018
,12,11,1,26,25,24,0.019,18,17,0.1,0,24,0.3,3,24,2018,10,11,Newark Firehouse,40.720989,-74.192892,10/11/2018
,9,8,1,23,22,24,0.03,28,17,0.6,0,24,0.3,3,24,2018,10,17,Newark Firehouse,40.720989,-74.192892,10/17/2018
,9,8,1,33,31,24,0.027,25,17,0.8,0,24,0.5,6,24,2018,10,20,Newark Firehouse,40.720989,-74.192892,10/20/2018
,12,11,1,36,34,24,0.032,30,17,3.7,4,24,0.5,6,24,2018,10,23,Newark Firehouse,40.720989,-74.192892,10/23/2018
,10,9,1,31,29,24,0.025,23,17,1.2,1,24,0.4,5,24,2018,10,26,Newark Firehouse,40.720989,-74.192892,10/26/2018
,5,5,1,27,25,24,0.021,19,17,0.2,0,23,0.3,3,24,2018,10,29,Newark Firehouse,40.720989,-74.192892,10/29/2018
,24,22,1,56,53,24,0.03,28,17,1.7,1,24,0.5,6,24,2018,11,01,Newark Firehouse,40.720989,-74.192892,11/1/2018
,7,6,1,35,33,21,0.025,23,17,0.7,0,24,0.5,6,24,2018,11,04,Newark Firehouse,40.720989,-74.192892,11/4/2018
,7,6,1,26,25,24,0.025,23,17,0.5,0,24,0.4,5,24,2018,11,07,Newark Firehouse,40.720989,-74.192892,11/7/2018
,4,4,1,25,24,24,0.03,28,17,0.5,0,24,0.3,3,24,2018,11,10,Newark Firehouse,40.720989,-74.192892,11/10/2018
,6,6,1,36,34,24,0.025,23,17,0.3,0,24,0.5,6,24,2018,11,13,Newark Firehouse,40.720989,-74.192892,11/13/2018
,4,4,1,20,19,24,0.028,26,17,0.6,0,24,0.3,3,24,2018,11,16,Newark Firehouse,40.720989,-74.192892,11/16/2018
,26,24,1,46,43,24,0.013,12,17,0.7,0,23,1.2,14,24,2018,11,19,Newark Firehouse,40.720989,-74.192892,11/19/2018
,3,3,1,9,8,24,0.033,31,17,0,0,24,0.2,2,24,2018,11,22,Newark Firehouse,40.720989,-74.192892,11/22/2018
,7,6,1,33,31,21,0.031,29,17,0.1,0,24,0.6,7,24,2018,11,25,Newark Firehouse,40.720989,-74.192892,11/25/2018
,3,3,1,9,8,24,0.022,20,17,0.4,0,24,0.2,2,24,2018,11,28,Newark Firehouse,40.720989,-74.192892,11/28/2018
,13,12,1,29,27,24,0.011,10,17,0.7,0,24,0.6,7,24,2018,12,01,Newark Firehouse,40.720989,-74.192892,12/1/2018
,2,2,1,21,20,24,0.03,28,17,0,0,24,0.3,3,24,2018,12,04,Newark Firehouse,40.720989,-74.192892,12/4/2018
,6,6,1,30,28,24,0.028,26,17,0.4,0,24,0.3,3,24,2018,12,07,Newark Firehouse,40.720989,-74.192892,12/7/2018
,14,13,1,37,35,24,0.025,23,17,0.5,0,23,0.5,6,24,2018,12,10,Newark Firehouse,40.720989,-74.192892,12/10/2018
,5,5,1,11,10,21,0.022,20,17,0,0,24,0.4,5,24,2018,12,16,Newark Firehouse,40.720989,-74.192892,12/16/2018
,15,14,1,46,43,24,0.017,16,17,1.2,1,24,0.8,9,24,2018,12,19,Newark Firehouse,40.720989,-74.192892,12/19/2018
,7,6,1,47,44,24,0.025,23,17,0.7,0,23,0.4,5,24,2018,12,22,Newark Firehouse,40.720989,-74.192892,12/22/2018
