Day-Result,D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,DMean PM10,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
Good,33,15,20,33,0,5,16,1,21,21,0.036,17,0.7,24,0.4,24,2016,10,30,Newark Firehouse,40.720989,-74.192892,10/30/2016
Good,35,35,32,21,0,6,38,1,34,24,0.023,17,0.4,24,0.5,24,2016,11,2,Newark Firehouse,40.720989,-74.192892,11/2/2016
Good,31,9,31,26,0,7,10,1,33,24,0.028,17,0.8,24,0.6,24,2016,11,5,Newark Firehouse,40.720989,-74.192892,11/5/2016
Moderate Pollution,53,28,53,10,3,23,30,1,56,24,0.011,17,2.6,24,2,24,2016,11,8,Newark Firehouse,40.720989,-74.192892,11/8/2016
Good,28,8,24,28,1,3,9,1,25,24,0.03,17,1,24,0.3,24,2016,11,11,Newark Firehouse,40.720989,-74.192892,11/11/2016
Good,28,13,28,25,0,5,14,1,30,24,0.027,17,0.7,24,0.4,24,2016,11,17,Newark Firehouse,40.720989,-74.192892,11/17/2016
Good,31,3,5,31,0,2,3,1,5,21,0.033,17,0.2,24,0.2,24,2016,11,20,Newark Firehouse,40.720989,-74.192892,11/20/2016
Good,27,6,27,27,0,3,6,1,29,24,0.029,17,0.2,24,0.3,24,2016,11,23,Newark Firehouse,40.720989,-74.192892,11/23/2016
Good,20,8,20,17,0,9,9,1,21,24,0.018,17,0.5,24,0.8,24,2016,11,26,Newark Firehouse,40.720989,-74.192892,11/26/2016
Good,39,11,39,15,0,3,12,1,41,24,0.016,17,0.9,24,0.3,24,2016,11,29,Newark Firehouse,40.720989,-74.192892,11/29/2016
Good,15,6,15,15,0,3,6,1,16,24,0.016,17,0.7,24,0.3,24,2016,12,2,Newark Firehouse,40.720989,-74.192892,12/2/2016
Good,31,10,31,15,1,7,11,1,33,24,0.016,17,1.2,23,0.6,24,2016,12,5,Newark Firehouse,40.720989,-74.192892,12/5/2016
Good,25,12,25,15,1,8,13,1,26,24,0.016,17,1.6,24,0.7,24,2016,12,8,Newark Firehouse,40.720989,-74.192892,12/8/2016
Good,32,12,32,16,1,5,13,1,34,21,0.017,17,1.2,24,0.4,24,2016,12,11,Newark Firehouse,40.720989,-74.192892,12/11/2016
Good,38,14,38,3,1,9,15,1,40,24,0.003,17,1.1,24,0.8,24,2016,12,17,Newark Firehouse,40.720989,-74.192892,12/17/2016
Good,39,12,39,17,0,5,13,1,41,24,0.018,17,0.8,24,0.4,24,2016,12,20,Newark Firehouse,40.720989,-74.192892,12/20/2016
Good,27,15,27,23,1,3,16,1,29,24,0.025,17,1.4,24,0.3,24,2018,1,2,Newark Firehouse,40.720989,-74.192892,1/2/2018
Good,31,6,9,31,0,2,6,1,10,24,0.033,17,0.5,24,0.2,24,2018,1,5,Newark Firehouse,40.720989,-74.192892,1/5/2018
Good,34,24,34,12,4,5,26,1,36,24,0.013,17,3.3,23,0.4,24,2018,1,8,Newark Firehouse,40.720989,-74.192892,1/8/2018
Moderate Pollution,76,37,76,1,6,18,40,1,77,24,0.001,17,4.9,24,1.6,24,2018,1,11,Newark Firehouse,40.720989,-74.192892,1/11/2018
Good,32,15,32,18,0,11,16,1,34,24,0.019,17,0.7,24,1,24,2018,1,17,Newark Firehouse,40.720989,-74.192892,1/17/2018
Good,41,19,41,31,1,7,20,1,43,24,0.033,17,1.7,24,0.6,24,2018,1,20,Newark Firehouse,40.720989,-74.192892,1/20/2018
Good,45,12,45,25,0,10,13,1,48,24,0.027,17,0.8,24,0.9,24,2018,1,23,Newark Firehouse,40.720989,-74.192892,1/23/2018
Good,35,13,35,18,0,6,14,1,37,24,0.019,17,0.7,24,0.5,24,2018,1,26,Newark Firehouse,40.720989,-74.192892,1/26/2018
Good,27,12,27,19,0,5,13,1,29,24,0.021,17,0.3,21,0.4,24,2018,1,29,Newark Firehouse,40.720989,-74.192892,1/29/2018
Good,36,17,36,14,1,7,18,1,38,24,0.015,17,1.4,24,0.6,24,2018,2,1,Newark Firehouse,40.720989,-74.192892,2/1/2018
Good,40,11,40,22,0,9,12,1,42,21,0.024,17,0.5,24,0.8,24,2018,2,4,Newark Firehouse,40.720989,-74.192892,2/4/2018
Good,32,6,24,32,0,3,6,1,25,24,0.035,17,0.1,24,0.3,7,2018,2,16,Newark Firehouse,40.720989,-74.192892,2/16/2018
Good,41,19,41,19,1,18,20,1,43,24,0.021,17,1.2,23,1.6,24,2018,2,19,Newark Firehouse,40.720989,-74.192892,2/19/2018
