D-AQI,DMean PM10,PM10 AQI,PM-WEIGHT,DMax NO2,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 AQI,SO2-WEIGHT,DMax CO,CO AQI,CO-WEIGHT,Year,Month,Day,Site Name,LAt,Lng,Date
,6,6,1,7.8,7,24,0.031,29,17,0.7,0,24,0.2,2,13,2018,11,01,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
,9,8,1,21.6,20,24,0.018,17,17,0.5,0,24,0.3,3,24,2018,11,07,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
,14,13,1,20.4,19,24,0.016,15,17,1.8,1,20,0.5,6,24,2018,11,10,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
,7,6,1,19.4,18,24,0.018,17,17,0.7,0,21,0.2,2,24,2018,11,16,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
,24,22,1,32.7,30,22,0.001,1,17,3.6,4,24,0.6,7,24,2018,11,19,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
,5,5,1,22.5,21,24,0.029,27,17,1,1,22,0.5,6,24,2018,11,22,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
,11,10,1,24,23,22,0.005,5,17,1.5,1,24,0.4,5,24,2018,11,25,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
,7,6,1,35,33,24,0.013,12,17,1.6,1,22,0.4,5,24,2018,11,28,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
,7,6,1,20.5,19,24,0.018,17,17,0.6,0,22,0.3,3,24,2018,12,04,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
,10,9,1,23.4,22,24,0.02,19,17,0.9,0,24,0.3,3,24,2018,12,07,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
,7,6,1,26,25,24,0.019,18,17,0.8,0,24,0.3,3,24,2018,12,13,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
,11,10,1,34.3,32,22,0.018,17,17,1.6,1,21,0.4,5,24,2018,12,19,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
,8,7,1,27.3,25,24,0.028,26,17,1.4,1,21,0.3,3,24,2018,12,22,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
,9,8,1,19.7,18,22,0.011,10,17,1.1,1,23,0.3,3,24,2018,12,25,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
,4,4,1,23.9,22,24,0.029,27,17,0.8,0,22,0.4,5,24,2018,12,28,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
,4,4,1,6,6,24,0.037,34,17,0.6,0,24,0.1,1,19,2020,01,01,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
