D-AQI,PM10 AQI,NO2 AQI,Ozone AQI,SO2 AQI,CO AQI,PM-WEIGHT,DMax NO2,NO2-WEIGHT,DMax Ozone,OZONE-WEIGHT,DMax SO2,SO2-WEIGHT,DMax CO,CO-WEIGHT,Year,Month,Day,Site Name,Lat,Lng,Date
33,19,33,41,1,1,1,35.7,23,0.044,17,1.3,22,0.1,24,2016,3,5,Cheyenne NCore,41.18222711,-104.7783342,3/5/2016
3,8,3,45,0,1,1,3.6,23,0.049,17,0.2,23,0.1,24,2016,3,6,Cheyenne NCore,41.18222711,-104.7783342,3/6/2016
10,10,10,43,4,1,1,11.1,24,0.046,17,3.8,24,0.1,24,2016,3,12,Cheyenne NCore,41.18222711,-104.7783342,3/12/2016
3,6,3,43,0,1,1,3.4,22,0.046,17,0,21,0.1,24,2016,3,13,Cheyenne NCore,41.18222711,-104.7783342,3/13/2016
17,9,17,45,0,1,1,18,24,0.049,17,0.2,24,0.1,24,2016,3,14,Cheyenne NCore,41.18222711,-104.7783342,3/14/2016
1,5,1,41,0,1,1,1.4,23,0.044,17,0,22,0.1,24,2016,3,15,Cheyenne NCore,41.18222711,-104.7783342,3/15/2016
2,6,2,44,0,1,1,2.8,24,0.047,17,0,24,0.1,24,2016,3,16,Cheyenne NCore,41.18222711,-104.7783342,3/16/2016
3,6,3,44,0,1,1,3.5,23,0.047,17,0.1,22,0.1,24,2016,3,17,Cheyenne NCore,41.18222711,-104.7783342,3/17/2016
2,6,2,39,0,1,1,2.6,24,0.042,17,0.9,24,0.1,24,2016,3,18,Cheyenne NCore,41.18222711,-104.7783342,3/18/2016
4,4,4,40,0,1,1,4.2,23,0.043,17,-0.1,22,0.1,24,2016,3,19,Cheyenne NCore,41.18222711,-104.7783342,3/19/2016
23,6,23,44,0,1,1,24.5,23,0.048,17,0.7,23,0.1,24,2016,3,20,Cheyenne NCore,41.18222711,-104.7783342,3/20/2016
18,6,18,49,0,1,1,19.3,23,0.053,17,0.7,22,0.1,21,2016,3,21,Cheyenne NCore,41.18222711,-104.7783342,3/21/2016
25,12,25,47,1,1,1,26.5,24,0.051,17,1,23,0.1,24,2016,3,22,Cheyenne NCore,41.18222711,-104.7783342,3/22/2016
2,13,2,39,0,1,1,2,23,0.042,17,0.1,22,0.1,24,2016,3,23,Cheyenne NCore,41.18222711,-104.7783342,3/23/2016
8,7,8,45,0,1,1,8.9,24,0.049,17,0,24,0.1,24,2016,3,24,Cheyenne NCore,41.18222711,-104.7783342,3/24/2016
9,3,9,45,0,1,1,10.9,23,0.049,17,0.1,22,0.1,24,2016,3,25,Cheyenne NCore,41.18222711,-104.7783342,3/25/2016
25,6,25,38,0,1,1,27.6,24,0.041,17,0.3,24,0.1,24,2016,3,26,Cheyenne NCore,41.18222711,-104.7783342,3/26/2016
22,4,22,46,0,1,1,23.5,22,0.05,17,0,21,0.1,24,2016,3,27,Cheyenne NCore,41.18222711,-104.7783342,3/27/2016
21,10,21,48,0,1,1,22.6,23,0.052,17,0.5,23,0.1,24,2016,3,28,Cheyenne NCore,41.18222711,-104.7783342,3/28/2016
1,4,1,44,0,1,1,1.6,24,0.048,17,0.1,24,0.1,24,2016,3,30,Cheyenne NCore,41.18222711,-104.7783342,3/30/2016
1,4,1,44,0,1,1,1.3,23,0.047,17,0,22,0.1,23,2016,3,31,Cheyenne NCore,41.18222711,-104.7783342,3/31/2016
1,6,1,44,0,1,1,1.9,24,0.048,17,0,24,0.1,24,2016,4,1,Cheyenne NCore,41.18222711,-104.7783342,4/1/2016
5,5,5,44,0,1,1,5.2,23,0.047,17,0,22,0.1,19,2016,4,2,Cheyenne NCore,41.18222711,-104.7783342,4/2/2016
24,4,24,44,0,1,1,25,23,0.047,17,0,23,0.1,24,2016,4,3,Cheyenne NCore,41.18222711,-104.7783342,4/3/2016
3,9,3,47,0,1,1,3.4,24,0.051,17,-0.1,23,0.1,24,2016,4,5,Cheyenne NCore,41.18222711,-104.7783342,4/5/2016
1,7,1,42,0,1,1,1.6,23,0.045,17,0,22,0.1,19,2016,4,6,Cheyenne NCore,41.18222711,-104.7783342,4/6/2016
10,6,10,39,0,1,1,11.4,24,0.042,17,0,24,0.1,24,2016,4,7,Cheyenne NCore,41.18222711,-104.7783342,4/7/2016
6,13,6,44,0,1,1,6.9,23,0.048,17,0,22,0.1,19,2016,4,8,Cheyenne NCore,41.18222711,-104.7783342,4/8/2016
20,10,20,46,0,1,1,21.2,24,0.05,17,0.4,24,0.1,24,2016,4,9,Cheyenne NCore,41.18222711,-104.7783342,4/9/2016
3,5,3,35,0,0,1,3.3,22,0.038,17,0,21,0,19,2016,4,10,Cheyenne NCore,41.18222711,-104.7783342,4/10/2016
15,9,15,34,0,1,1,16.7,24,0.037,17,0,24,0.1,23,2016,4,11,Cheyenne NCore,41.18222711,-104.7783342,4/11/2016
13,5,13,43,0,1,1,14.2,23,0.046,17,0.2,22,0.1,19,2016,4,12,Cheyenne NCore,41.18222711,-104.7783342,4/12/2016
12,6,12,49,0,1,1,13.8,24,0.053,17,0,24,0.1,24,2016,4,13,Cheyenne NCore,41.18222711,-104.7783342,4/13/2016
11,7,11,49,0,1,1,12.5,23,0.053,17,0.2,22,0.1,19,2016,4,14,Cheyenne NCore,41.18222711,-104.7783342,4/14/2016
2,5,2,48,0,1,1,2.1,24,0.052,17,0.1,24,0.1,24,2016,4,15,Cheyenne NCore,41.18222711,-104.7783342,4/15/2016
1,5,1,39,0,1,1,1.3,23,0.042,17,0.1,22,0.1,19,2016,4,16,Cheyenne NCore,41.18222711,-104.7783342,4/16/2016
2,5,2,46,0,1,1,2,23,0.05,17,0,23,0.1,24,2016,4,17,Cheyenne NCore,41.18222711,-104.7783342,4/17/2016
14,7,14,44,0,1,1,15.6,24,0.048,17,0.2,24,0.1,24,2016,4,19,Cheyenne NCore,41.18222711,-104.7783342,4/19/2016
9,2,9,43,0,1,1,10,23,0.046,17,0,22,0.1,19,2016,4,20,Cheyenne NCore,41.18222711,-104.7783342,4/20/2016
23,12,23,80,0,1,1,24.8,23,0.064,17,0.7,22,0.1,19,2016,4,22,Cheyenne NCore,41.18222711,-104.7783342,4/22/2016
14,11,14,58,1,1,1,15.3,24,0.057,17,1.2,24,0.1,24,2016,4,23,Cheyenne NCore,41.18222711,-104.7783342,4/23/2016
