Dmax Ozone,Year,Month,Day,OZONE-WEIGHT,Flag,,,
0.023,1900,01,00,19,0,,,
0.023,1900,01,00,19,0,,,
0.023,1900,01,00,19,0,,,
0.023,1900,01,00,19,0,,,
0.022,1900,01,00,19,0,,,
0.022,1900,01,00,19,0,,,
0.022,1900,01,00,19,0,,,
0.022,1900,01,00,19,0,,,
0.009,1900,01,00,8,0,,,
0.009,1900,01,00,8,0,,,
0.009,1900,01,00,8,0,,,
0.009,1900,01,00,8,0,,,
0.047,1900,01,00,40,0,,,
0.047,1900,01,00,40,0,,,
0.047,1900,01,00,40,0,,,
0.047,1900,01,00,40,0,,,
0.052,1900,01,00,44,0,,,
0.052,1900,01,00,44,0,,,
0.052,1900,01,00,44,0,,,
