,Site Name,Date,DMean PM10,PM_UNITS,PM10 AQI,PM-WEIGHT,LAt,Lng,DMax NO2,NO2 Units,NO2 AQI,NO2-WEIGHT,DMax Ozone,Ozone Units,Ozone AQI,OZONE-WEIGHT,DMax SO2,SO2 Units,SO2 AQI,SO2-WEIGHT,DMax CO,CO Units,CO AQI,CO-WEIGHT
51,SEATTLE - BEACON HILL,6/10/2018,3.0,ug/m3 SC,3.0,1.0,47.568236,-122.308628,8.9,ppb,8.0,24.0,0.03,ppm,28.0,17.0,0.4,ppb,0.0,24.0,0.2,ppm,2.0,24.0
52,SEATTLE - BEACON HILL,6/13/2018,4.0,ug/m3 SC,4.0,1.0,47.568236,-122.308628,16.4,ppb,15.0,24.0,0.026,ppm,24.0,17.0,0.5,ppb,0.0,22.0,0.2,ppm,2.0,24.0
53,SEATTLE - BEACON HILL,6/16/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,13.0,ppb,12.0,24.0,0.037,ppm,34.0,17.0,0.6,ppb,0.0,24.0,0.2,ppm,2.0,24.0
54,SEATTLE - BEACON HILL,6/19/2018,17.0,ug/m3 SC,16.0,1.0,47.568236,-122.308628,36.3,ppb,34.0,24.0,0.028,ppm,26.0,17.0,1.4,ppb,1.0,20.0,0.2,ppm,2.0,24.0
55,SEATTLE - BEACON HILL,6/22/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,15.0,ppb,14.0,24.0,0.02,ppm,19.0,17.0,0.6,ppb,0.0,24.0,0.1,ppm,1.0,24.0
56,SEATTLE - BEACON HILL,6/25/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,21.8,ppb,20.0,20.0,0.03,ppm,28.0,17.0,1.3,ppb,1.0,19.0,0.1,ppm,1.0,24.0
57,SEATTLE - BEACON HILL,6/28/2018,12.0,ug/m3 SC,11.0,1.0,47.568236,-122.308628,12.1,ppb,11.0,22.0,0.024,ppm,22.0,17.0,0.7,ppb,0.0,24.0,0.2,ppm,2.0,24.0
60,SEATTLE - BEACON HILL,7/7/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,16.7,ppb,15.0,23.0,0.026,ppm,24.0,17.0,0.5,ppb,0.0,19.0,0.1,ppm,1.0,24.0
61,SEATTLE - BEACON HILL,7/10/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,9.1,ppb,8.0,22.0,0.029,ppm,27.0,17.0,0.6,ppb,0.0,24.0,0.1,ppm,1.0,24.0
62,SEATTLE - BEACON HILL,7/13/2018,15.0,ug/m3 SC,14.0,1.0,47.568236,-122.308628,25.9,ppb,24.0,22.0,0.032,ppm,30.0,17.0,5.9,ppb,7.0,20.0,0.2,ppm,2.0,14.0
63,SEATTLE - BEACON HILL,7/16/2018,18.0,ug/m3 SC,17.0,1.0,47.568236,-122.308628,44.6,ppb,42.0,23.0,0.036,ppm,33.0,17.0,1.6,ppb,1.0,21.0,0.2,ppm,2.0,24.0
64,SEATTLE - BEACON HILL,7/19/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,21.0,ppb,20.0,24.0,0.022,ppm,20.0,17.0,0.5,ppb,0.0,22.0,0.1,ppm,1.0,24.0
65,SEATTLE - BEACON HILL,7/22/2018,11.0,ug/m3 SC,10.0,1.0,47.568236,-122.308628,21.3,ppb,20.0,24.0,0.036,ppm,33.0,17.0,0.9,ppb,0.0,22.0,0.2,ppm,2.0,24.0
66,SEATTLE - BEACON HILL,7/25/2018,20.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,37.0,ppb,35.0,24.0,0.039,ppm,36.0,17.0,2.8,ppb,3.0,23.0,0.3,ppm,3.0,24.0
67,SEATTLE - BEACON HILL,7/28/2018,12.0,ug/m3 SC,11.0,1.0,47.568236,-122.308628,37.5,ppb,35.0,22.0,0.024,ppm,22.0,17.0,2.8,ppb,3.0,22.0,0.2,ppm,2.0,24.0
68,SEATTLE - BEACON HILL,7/31/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,4.9,ppb,4.0,23.0,0.03,ppm,28.0,17.0,0.8,ppb,0.0,22.0,0.2,ppm,2.0,24.0
69,SEATTLE - BEACON HILL,8/3/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,12.0,ppb,11.0,22.0,0.021,ppm,19.0,17.0,0.7,ppb,0.0,21.0,0.1,ppm,1.0,24.0
70,SEATTLE - BEACON HILL,8/6/2018,12.0,ug/m3 SC,11.0,1.0,47.568236,-122.308628,21.6,ppb,20.0,23.0,0.023,ppm,21.0,17.0,3.0,ppb,4.0,22.0,0.3,ppm,3.0,24.0
71,SEATTLE - BEACON HILL,8/9/2018,20.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,33.2,ppb,31.0,22.0,0.042,ppm,39.0,17.0,3.5,ppb,4.0,22.0,0.2,ppm,2.0,24.0
73,SEATTLE - BEACON HILL,8/15/2018,60.0,ug/m3 SC,53.0,1.0,47.568236,-122.308628,47.4,ppb,44.0,24.0,0.033,ppm,31.0,17.0,3.2,ppb,4.0,22.0,0.7,ppm,8.0,24.0
75,SEATTLE - BEACON HILL,8/30/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,14.9,ppb,13.0,24.0,0.023,ppm,21.0,17.0,1.0,ppb,1.0,24.0,0.1,ppm,1.0,24.0
76,SEATTLE - BEACON HILL,9/5/2018,22.0,ug/m3 SC,20.0,1.0,47.568236,-122.308628,41.9,ppb,39.0,24.0,0.027,ppm,25.0,17.0,1.6,ppb,1.0,22.0,0.3,ppm,3.0,24.0
77,SEATTLE - BEACON HILL,10/14/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,26.8,ppb,25.0,24.0,0.022,ppm,20.0,17.0,1.0,ppb,1.0,22.0,0.3,ppm,3.0,24.0
78,SEATTLE - BEACON HILL,10/17/2018,22.0,ug/m3 SC,20.0,1.0,47.568236,-122.308628,57.2,ppb,54.0,24.0,0.008,ppm,7.0,17.0,3.4,ppb,4.0,24.0,0.6,ppm,7.0,24.0
79,SEATTLE - BEACON HILL,10/20/2018,20.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,14.4,ppb,13.0,24.0,0.021,ppm,19.0,17.0,0.6,ppb,0.0,24.0,0.3,ppm,3.0,24.0
80,SEATTLE - BEACON HILL,10/23/2018,20.0,ug/m3 SC,19.0,1.0,47.568236,-122.308628,26.6,ppb,25.0,24.0,0.011,ppm,10.0,17.0,2.7,ppb,3.0,22.0,0.8,ppm,9.0,24.0
81,SEATTLE - BEACON HILL,10/26/2018,8.0,ug/m3 SC,7.0,1.0,47.568236,-122.308628,15.4,ppb,14.0,24.0,0.03,ppm,28.0,17.0,0.6,ppb,0.0,22.0,0.4,ppm,5.0,24.0
82,SEATTLE - BEACON HILL,10/29/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,25.0,ppb,24.0,24.0,0.021,ppm,19.0,17.0,0.8,ppb,0.0,18.0,0.2,ppm,2.0,24.0
83,SEATTLE - BEACON HILL,11/1/2018,6.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,7.8,ppb,7.0,24.0,0.031,ppm,29.0,17.0,0.7,ppb,0.0,24.0,0.2,ppm,2.0,13.0
85,SEATTLE - BEACON HILL,11/7/2018,9.0,ug/m3 SC,8.0,1.0,47.568236,-122.308628,21.6,ppb,20.0,24.0,0.018,ppm,17.0,17.0,0.5,ppb,0.0,24.0,0.3,ppm,3.0,24.0
86,SEATTLE - BEACON HILL,11/10/2018,14.0,ug/m3 SC,13.0,1.0,47.568236,-122.308628,20.4,ppb,19.0,24.0,0.016,ppm,15.0,17.0,1.8,ppb,1.0,20.0,0.5,ppm,6.0,24.0
87,SEATTLE - BEACON HILL,11/16/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,19.4,ppb,18.0,24.0,0.018,ppm,17.0,17.0,0.7,ppb,0.0,21.0,0.2,ppm,2.0,24.0
88,SEATTLE - BEACON HILL,11/19/2018,24.0,ug/m3 SC,22.0,1.0,47.568236,-122.308628,32.7,ppb,30.0,22.0,0.001,ppm,1.0,17.0,3.6,ppb,4.0,24.0,0.6,ppm,7.0,24.0
89,SEATTLE - BEACON HILL,11/22/2018,5.0,ug/m3 SC,5.0,1.0,47.568236,-122.308628,22.5,ppb,21.0,24.0,0.029,ppm,27.0,17.0,1.0,ppb,1.0,22.0,0.5,ppm,6.0,24.0
90,SEATTLE - BEACON HILL,11/25/2018,11.0,ug/m3 SC,10.0,1.0,47.568236,-122.308628,24.0,ppb,23.0,22.0,0.005,ppm,5.0,17.0,1.5,ppb,1.0,24.0,0.4,ppm,5.0,24.0
91,SEATTLE - BEACON HILL,11/28/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,35.0,ppb,33.0,24.0,0.013,ppm,12.0,17.0,1.6,ppb,1.0,22.0,0.4,ppm,5.0,24.0
93,SEATTLE - BEACON HILL,12/4/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,20.5,ppb,19.0,24.0,0.018,ppm,17.0,17.0,0.6,ppb,0.0,22.0,0.3,ppm,3.0,24.0
94,SEATTLE - BEACON HILL,12/7/2018,10.0,ug/m3 SC,9.0,1.0,47.568236,-122.308628,23.4,ppb,22.0,24.0,0.02,ppm,19.0,17.0,0.9,ppb,0.0,24.0,0.3,ppm,3.0,24.0
96,SEATTLE - BEACON HILL,12/13/2018,7.0,ug/m3 SC,6.0,1.0,47.568236,-122.308628,26.0,ppb,25.0,24.0,0.019,ppm,18.0,17.0,0.8,ppb,0.0,24.0,0.3,ppm,3.0,24.0
98,SEATTLE - BEACON HILL,12/19/2018,11.0,ug/m3 SC,10.0,1.0,47.568236,-122.308628,34.3,ppb,32.0,22.0,0.018,ppm,17.0,17.0,1.6,ppb,1.0,21.0,0.4,ppm,5.0,24.0
