Ozone AQI,Year,Month,Day,OZONE-WEIGHT,Flag
61,2018,6,7,17,0
48,2018,6,8,17,0
49,2018,6,9,17,0
49,2018,6,10,17,0
93,2018,6,11,17,0
46,2018,6,15,14,0
43,2018,6,16,17,0
29,2018,6,17,17,0
44,2018,6,18,17,0
40,2018,6,19,17,0
50,2018,6,20,17,0
44,2018,6,21,17,0
46,2018,6,22,17,0
50,2018,6,23,17,0
50,2018,6,24,17,0
45,2018,6,25,17,0
64,2018,6,27,17,0
50,2018,6,28,17,0
49,2018,6,29,17,0
49,2018,6,30,17,0
54,2018,7,1,17,0
43,2018,7,2,17,0
48,2018,7,3,17,0
47,2018,7,4,17,0
74,2018,7,5,17,0
77,2018,7,6,17,0
93,2018,7,7,17,0
58,2018,7,8,17,0
74,2018,7,9,17,0
84,2018,7,10,17,0
77,2018,7,11,17,0
51,2018,7,12,17,0
67,2018,7,13,17,0
97,2018,7,14,17,0
44,2018,7,15,17,0
71,2018,7,16,17,0
61,2018,7,17,17,0
77,2018,7,18,17,0
74,2018,7,20,17,0
49,2018,7,22,17,0
44,2018,7,23,17,0
54,2018,7,24,17,0
49,2018,7,25,17,0
50,2018,7,26,17,0
43,2018,7,27,17,0
46,2018,7,28,17,0
48,2018,7,29,17,0
67,2018,7,30,17,0
71,2018,7,31,17,0
71,2018,8,1,17,0
93,2018,8,2,17,0
61,2018,8,3,17,0
54,2018,8,4,17,0
48,2018,8,5,17,0
44,2018,8,6,17,0
64,2018,8,7,17,0
77,2018,8,8,17,0
84,2018,8,9,17,0
80,2018,8,10,17,0
71,2018,8,11,17,0
67,2018,8,12,17,0
71,2018,8,13,17,0
45,2018,8,14,17,0
49,2018,8,15,17,0
58,2018,8,16,17,0
61,2018,8,17,17,0
46,2018,8,18,17,0
47,2018,8,19,17,0
48,2018,8,20,17,0
41,2018,8,21,17,0
45,2018,8,22,17,0
74,2018,8,23,17,0
87,2018,8,24,17,0
50,2018,8,25,17,0
48,2018,8,26,17,0
47,2018,8,27,17,0
42,2018,8,28,17,0
48,2018,8,29,17,0
43,2018,8,30,17,0
44,2018,8,31,17,0
46,2018,9,1,17,0
45,2018,9,2,17,0
48,2018,9,3,17,0
42,2018,9,6,17,0
45,2018,9,7,17,0
61,2018,9,8,17,0
51,2018,9,9,17,0
64,2018,9,10,17,0
44,2018,9,11,17,0
49,2018,9,12,17,0
43,2018,9,13,17,0
41,2018,9,14,17,0
48,2018,9,15,17,0
44,2018,9,16,17,0
37,2018,9,17,17,0
44,2018,9,18,17,0
32,2018,9,19,17,0
49,2018,9,20,17,0
47,2018,9,21,17,0
58,2018,9,22,17,0
49,2018,9,23,17,0
47,2018,9,24,17,0
41,2018,9,25,17,0
48,2018,9,26,17,0
45,2018,9,27,17,0
20,2018,9,28,17,0
34,2018,9,29,17,0
19,2018,9,30,17,0
35,2018,10,1,17,0
39,2018,10,17,17,0
